top	left	bottom	right	slug	name	iso	woeid
43.545	18.938	43.051	19.576	29389226	Pljevlja	ME	29389226
43.263	19.462	42.91	20.011	29389227	Bijelo Polje	ME	29389227
42.988	19.676	42.696	20.136	29389228	Berane	ME	29389228
42.969	20.043	42.76	20.409	29389229	Rožaje	ME	29389229
43.371	18.642	42.942	19.07	29389230	Plužine	ME	29389230
43.286	19.02	42.994	19.427	29389231	Žabljak	ME	29389231
43.053	19.352	42.882	19.715	29389232	Mojkovac	ME	29389232
42.8264301621	19.6281356136	42.5888219265	19.9094104347	29389233	Andrijevica	ME	29389233
43.111	18.955	42.848	19.392	29389234	Šavnik	ME	29389234
42.928	19.22	42.654	19.687	29389235	Kolašin	ME	29389235
42.7595091823	18.9371700379	42.487174384	19.3009721206	29389236	Danilovgrad	ME	29389236
42.743	18.971	42.083	19.667	29389237	Podgorica	ME	29389237
43.128	18.466	42.601	19.258	29389238	Nikšić	ME	29389238
42.701	19.753	42.473	20.089	29389239	Plav	ME	29389239
42.6293362498	18.5064469744	42.2715803083	18.7935612322	29389240	Kotor	ME	29389240
42.102	19.147	41.85	19.395	29389241	Ulcinj	ME	29389241
42.701	18.682	42.269	19.163	29389242	Cetinje	ME	29389242
42.3600245225	18.7849312677	42.1833944765	19.0008870786	29389243	Budva	ME	29389243
42.321938992	18.9225456072	42.0114669863	19.3700635107	29389244	Bar	ME	29389244
42.48	18.646	42.362	18.766	29389245	Tivat	ME	29389245
42.585	18.455	42.363	18.686	29389246	Herceg Novi	ME	29389246
