top	left	bottom	right	slug	name	iso	woeid
7.534	168.547	7.275	168.944	24549832	Ailinglaplap	MH	24549832
10.464	169.866	10.209	169.991	24549833	Ailuk	MH	24549833
11.712	165.26	11.494	165.57	24549834	Bikini	MH	24549834
7.252	171.548	6.952	171.932	24549835	Arno	MH	24549835
8.372	171.015	8.141	171.179	24549836	Aur	MH	24549836
12.258	170.111	12.192	170.146	24549837	Bikar	MH	24549837
11.675	162.143	11.322	162.388	24549838	Enewetak	MH	24549838
14.655	168.942	14.556	169.022	24549839	Bokak	MH	24549839
4.675	168.648	4.575	168.775	24549840	Ebon	MH	24549840
9.19	169.908	9.021	170.049	24549841	Erikub	MH	24549841
7.835	168.217	7.562	168.974	24549842	Jabat	MH	24549842
6.283	169.415	5.785	169.729	24549843	Jaluit	MH	24549843
10.084	169.525	10.079	169.53	24549844	Jemo	MH	24549844
5.654	169.11	5.636	169.127	24549845	Kili	MH	24549845
9.403	166.818	8.712	167.776	24549846	Kwajalein	MH	24549846
8.959	166.218	8.915	166.272	24549847	Lae	MH	24549847
8.314	167.405	8.309	167.41	24549848	Lib	MH	24549848
10.049	168.996	9.8	169.321	24549849	Likiep	MH	24549849
7.224	171.033	7.055	171.389	24549850	Majuro	MH	24549850
8.906	170.838	8.486	171.238	24549851	Maloelap	MH	24549851
10.297	170.876	10.272	170.892	24549852	Mejit	MH	24549852
6.242	171.711	5.883	172.162	24549853	Mili	MH	24549853
5.646	168.085	5.588	168.132	24549854	Namorik	MH	24549854
8.192	167.975	8.07	168.184	24549855	Namu	MH	24549855
11.405	167.47	11.292	167.525	24549856	Rongrik	MH	24549856
11.141	169.674	11.135	169.68	24549857	Toke	MH	24549857
9.22	165.525	8.926	165.771	24549858	Ujae	MH	24549858
11.241	169.769	11.213	169.872	24549859	Utrik	MH	24549859
10.19	165.931	10.028	166.038	24549860	Wotho	MH	24549860
9.561	169.843	9.371	170.248	24549861	Wotje	MH	24549861
11.464	166.683	11.142	167.064	24549862	Rongelap	MH	24549862
11.164	166.286	11.112	166.529	24549863	Ailinginae	MH	24549863
