top	left	bottom	right	slug	name	iso	woeid
42.098	21.532	42.001	21.647	24550745	Aračinovo	MK	24550745
41.4286860216	20.6873474463	41.1709239772	21.031512485	24550746	Debarca	MK	24550746
41.242	21.058	40.864	21.5	24550747	Bitola	MK	24550747
41.558	22.684	41.407	22.874	24550750	Bosilovo	MK	24550750
41.987	20.95	41.803	21.117	24550751	Brvenica	MK	24550751
42.0524980735	21.3885966329	42.0072553577	21.4259070171	24550752	Čair	MK	24550752
41.725	21.379	41.441	21.831	24550754	Čaška	MK	24550754
42.0057050641	21.426940545	41.9827607282	21.4458541195	24550756	Centar	MK	24550756
41.962	22.215	41.824	22.381	24550757	Češinovo-Obleševo	MK	24550757
41.402	20.935	41.136	21.263	24550759	Demir Hisar	MK	24550759
41.524	22.119	41.284	22.36	24550760	Demir Kapija	MK	24550760
41.587	21.211	41.348	21.561	24550763	Dolneni	MK	24550763
41.603	20.638	41.33	21.109	24550764	Drugovo	MK	24550764
42.137	21.473	41.971	21.571	24550766	Gazi Baba	MK	24550766
41.923	20.571	41.638	21.081	24550767	Gostivar	MK	24550767
41.733	21.785	41.489	22.027	24550768	Gradsko	MK	24550768
42.0400182157	21.5302934098	41.9196638042	21.6882165869	24550769	Ilinden	MK	24550769
42.191	21.081	42.014	21.197	24550771	Jegunovce	MK	24550771
41.879	22.144	41.723	22.435	24550772	Karbinci	MK	24550772
42.076	21.321	41.956	21.462	24550773	Karpoš	MK	24550773
41.515	21.713	41.091	22.273	24550774	Kavadarci	MK	24550774
41.562	20.899	41.48	21.004	24550775	Kičevo	MK	24550775
42.15	22.254	41.855	22.563	24550777	Kočani	MK	24550777
41.618	22.235	41.425	22.494	24550778	Konče	MK	24550778
42.185	21.935	42.024	22.383	24550780	Kratovo	MK	24550780
41.434	21.284	41.244	21.445	24550781	Krivogaštani	MK	24550781
41.463	21.103	41.23	21.35	24550782	Kruševo	MK	24550782
41.852	21.841	41.702	22.025	24550785	Lozovo	MK	24550785
41.874	20.995	41.456	21.413	24550786	Makedonski Brod	MK	24550786
41.268	21.304	41.089	21.606	24550789	Mogila	MK	24550789
41.669	21.985	41.341	22.309	24550790	Negotino	MK	24550790
41.1610537783	21.4213594908	40.8664981145	21.8957491389	24550791	Novaci	MK	24550791
41.694	20.959	41.521	21.137	24550795	Oslomej	MK	24550795
42.005	21.597	41.804	21.841	24550796	Petrovec	MK	24550796
41.485	21.038	41.408	21.183	24550797	Plasnica	MK	24550797
41.481	21.365	41.066	21.912	24550799	Prilep	MK	24550799
42.086	22.043	41.852	22.372	24550800	Probištip	MK	24550800
41.582	21.778	41.408	22.013	24550801	Rosoman	MK	24550801
42.121	21.156	41.899	21.344	24550803	Saraj	MK	24550803
41.982	21.196	41.746	21.472	24550804	Sopište	MK	24550804
41.881	21.909	41.562	22.408	24550807	Štip	MK	24550807
41.505	22.45	41.303	22.803	24550808	Strumica	MK	24550808
41.961	21.35	41.712	21.56	24550809	Studeničani	MK	24550809
42.089	21.399	42.037	21.458	24550810	Šuto Orizari	MK	24550810
42.015	21.8	41.749	22.126	24550811	Sveti Nikole	MK	24550811
41.456	22.297	41.228	22.74	24550813	Valandovo	MK	24550813
41.658	22.473	41.461	22.755	24550814	Vasilevo	MK	24550814
41.918	21.449	41.616	21.884	24550815	Veles	MK	24550815
42.001	22.452	41.735	22.738	24550817	Vinica	MK	24550817
41.576	20.983	41.413	21.125	24550818	Vraneštica	MK	24550818
41.973	20.694	41.816	20.965	24550819	Vrapčište	MK	24550819
41.925	21.481	41.754	21.691	24550820	Zelenikovo	MK	24550820
42.038	21.017	41.847	21.204	24550821	Želino	MK	24550821
41.881	22.374	41.81	22.469	24550824	Zrnovci	MK	24550824
41.817	22.636	41.504	23.011	24550826	Berovo	MK	24550826
41.279	22.508	41.122	22.69	24550827	Bogdanci	MK	24550827
42.043	20.73	41.905	20.97	24550828	Bogovinje	MK	24550828
41.544	20.516	41.404	20.675	24550829	Centar Župa	MK	24550829
42.2471115181	21.293201939	41.9996072452	21.515720656	24550830	Čučer-Sandevo	MK	24550830
42.346	22.165	42.104	22.544	24550831	Kriva Palanka	MK	24550831
42.282	21.621	41.969	22.044	24550832	Kumanovo	MK	24550832
41.278	20.695	40.908	20.993	24550834	Ohrid	MK	24550834
41.599	20.465	41.474	20.627	24550837	Debar	MK	24550837
42.102	22.62	41.807	22.905	24550838	Delčevo	MK	24550838
42.127	21.25	42.001	21.405	24550839	Gjorče Petrov	MK	24550839
41.385	22.227	41.117	22.6	24550840	Gevgelija	MK	24550840
42.286	21.487	42.078	21.691	24550842	Lipkovo	MK	24550842
42.316	22.052	42.114	22.23	24550844	Rankovce	MK	24550844
41.437	20.504	41.056	20.793	24550846	Struga	MK	24550846
42.158	22.458	41.952	22.644	24550851	Makedonska Kamenica	MK	24550851
41.517	22.77	41.335	22.984	24550853	Novo Selo	MK	24550853
41.904	22.762	41.689	23.038	24550854	Pehčevo	MK	24550854
41.22	20.808	40.854	21.283	24550855	Resen	MK	24550855
42.337	21.771	42.051	22.074	24550856	Staro Nagoričane	MK	24550856
41.8002395697	20.4997619967	41.4734894878	20.897360467	24550858	Mavrovo and Rostuša	MK	24550858
41.29414643	22.566405877	41.1398664416	22.7413822767	24550860	Star Dojran	MK	24550860
42.188	20.954	42.044	21.104	24550861	Tearce	MK	24550861
42.136	20.771	41.968	21.111	24550862	Tetovo	MK	24550862
41.672	20.748	41.532	21.003	24550864	Zajas	MK	24550864
41.825	22.307	41.516	22.651	24550865	Radoviš	MK	24550865
41.986	21.491	41.899	21.584	24550866	Kisela Voda	MK	24550866
41.258	20.53	41.197	20.629	24550867	Vevčani	MK	24550867
42.1432677268	21.4219796076	41.9970751005	21.5109664242	55848399	Butel	MK	55848399
41.9837425811	21.4322115416	41.9186819523	21.5542712745	55848400	Aerodrom	MK	55848400
