top	left	bottom	right	slug	name	iso	woeid
21.473	92.189	17.435	94.844	2344810	Rakhine State	MM	2344810
24.086	92.601	20.611	94.158	2344811	Chin State	MM	2344811
18.4712759461	93.3747969912	14.0646715353	96.0675525249	2344812	Ayeyarwady	MM	2344812
28.543	95.869	23.637	98.783	2344813	Kachin State	MM	2344813
19.486	96.437	15.237	98.918	2344814	Karan State	MM	2344814
19.999	96.814	18.492	97.91	2344815	Kayan State	MM	2344815
22.7117923043	93.903963658	18.3576394722	95.8574361515	2344816	Magway	MM	2344816
23.554	94.833	19.416	96.844	2344817	Mandalay	MM	2344817
19.4851158719	95.0630660341	16.8903388536	97.2339929543	2344818	Bago	MM	2344818
27.368	93.945	21.524	97.101	2344819	Sagaing	MM	2344819
24.164	96.202	19.305	101.177	2344820	Shan State	MM	2344820
15.087	97.44	9.6	99.669	2344821	Tenasserim	MM	2344821
17.737	96.875	14.863	98.267	2344822	Mon State	MM	2344822
17.681	95.698	16.314	96.856	2344823	Yangon	MM	2344823
