top	left	bottom	right	slug	name	iso	woeid
49.51	105.887	49.448	105.987	20070014	Darhan	MN	20070014
49.022	103.731	48.96	103.831	20070015	Erdenet	MN	20070015
47.952	106.864	47.914	106.924	20070016	Ulaanbaatar	MN	20070016
49.2180555284	98.1612748554	46.8182278505	103.677734003	2346157	Arhangay	MN	2346157
47.645	97.393	42.57	101.334	2346158	Bayanhongor	MN	2346158
50.007	87.749	46.628	91.671	2346159	Bayan-Olgiy	MN	2346159
50.2770864931	112.126210566	46.2983887802	119.906614211	2346160	Dornod	MN	2346160
46.814	107.779	42.387	112.376	2346161	Dornogovi	MN	2346161
46.725	103.705	44.126	108.712	2346162	Dundgovi	MN	2346162
50.041	93.021	46.551	99.313	2346163	Dzavhan	MN	2346163
47.7790477567	93.0760038595	42.7207776966	98.4791882671	2346164	Govi-Altay	MN	2346164
49.4401349958	108.396102329	46.0740872256	112.688346796	2346165	Hentiy	MN	2346165
49.001	90.663	44.999	94.085	2346166	Hovd	MN	2346166
52.154	97.089	48.325	102.632	2346167	Hovsgol	MN	2346167
45.287	99.409	41.568	108.192	2346168	Omnogov	MN	2346168
47.436	100.964	44.459	104.619	2346169	Ovorhangay	MN	2346169
50.4766608751	104.349320917	48.5047398951	108.5700452	2346170	Selenge	MN	2346170
47.807	111.399	44.755	116.489	2346171	Suhbaatar	MN	2346171
49.207	103.822	46.376	109.096	2346172	Tov	MN	2346172
50.868600776	89.996605259	48.3975629745	95.6896944523	2346173	Uvs	MN	2346173
50.437	101.651	47.381	104.871	2346174	Bulgan	MN	2346174
