top	left	bottom	right	slug	name	iso	woeid
23.1229816756	-9.14974605983	15.493576565	-5.35385372537	2346241	Hodh Ech Chargui	MR	2346241
17.7228461774	-11.0936325753	15.3648505724	-8.28923010898	2346242	Hodh El Gharbi	MR	2346242
18.3109239772	-12.8364719304	15.1030577665	-10.5848005845	2346243	Assaba	MR	2346243
16.903	-13.713	15.135	-12.023	2346244	Gorgol	MR	2346244
18.5570071477	-14.9492887025	16.1186546897	-12.3102249819	2346245	Brakna	MR	2346245
19.0004942898	-16.5423180811	15.8070974793	-12.6690661281	2346246	Trarza	MR	2346246
24.2756244984	-14.2957110253	18.5570071477	-6.37208614776	2346247	Adrar	MR	2346247
21.3333751494	-17.0817941963	19.4082213404	-14.1731862045	2346248	Dakhlet Nouadhibou	MR	2346248
19.7254112818	-12.6690661281	17.0861925316	-7.98772396459	2346249	Tagant	MR	2346249
16.0554544129	-12.7467358059	14.7345531279	-11.5003260972	2346250	Guidimaka	MR	2346250
27.2855699735	-13.1661417306	21.3516169295	-4.82223242828	2346251	Tiris Zemmour	MR	2346251
21.1508023141	-16.5354451158	18.9958434107	-14.1544793356	2346252	Inchiri	MR	2346252
18.238	-16.039	17.878	-15.847	24550716	Nouakchott	MR	24550716
