top	left	bottom	right	slug	name	iso	woeid
-20.167	57.303	-20.494	57.464	2346228	Black River	MU	2346228
-20.106	57.615	-20.333	57.817	2346229	Flacq	MU	2346229
-20.321	57.491	-20.499	57.786	2346230	Grand Port	MU	2346230
-20.173	57.469	-20.331	57.669	2346231	Moka	MU	2346231
-20.003	57.483	-20.197	57.641	2346232	Pamplemousses	MU	2346232
-20.188	57.433	-20.425	57.587	2346233	Plaines Wilhems	MU	2346233
-20.144	57.463	-20.202	57.552	2346234	Port Louis	MU	2346234
-19.816	57.567	-20.152	57.8	2346235	Riviere du Rempart	MU	2346235
-20.395	57.371	-20.526	57.62	2346236	Savanne	MU	2346236
-10.319	56.513	-10.465	56.632	2346237	Agalega Islands	MU	2346237
-16.25	59.5	-16.812	59.7	2346238	Cargados Carajos	MU	2346238
-19.652	63.31	-19.787	63.525	2346239	Rodrigues	MU	2346239
