top	left	bottom	right	slug	name	iso	woeid
7.117	72.796	6.819	73.216	20070312	Haa Alifu	MV	20070312
5.55	73.31	5.233	73.64	20070313	Lhaviyani	MV	20070313
6.434	72.892	5.966	73.272	20070314	Shaviyani	MV	20070314
6.0	73.116	5.65	73.451	20070315	Noonu	MV	20070315
5.367	72.8	4.833	73.167	20070316	Baa	MV	20070316
5.984	72.8	5.366	73.034	20070317	Raa	MV	20070317
6.8	72.616	6.316	73.166	20070318	Haa Dhaalu	MV	20070318
4.436	72.693	3.5	73.0	20070319	Alifu	MV	20070319
3.688	73.35	3.316	73.767	20070320	Vaavu	MV	20070320
3.334	72.816	3.068	73.05	20070321	Faafu	MV	20070321
3.017	72.846	2.675	73.05	20070322	Dhaalu	MV	20070322
3.15	73.35	2.766	73.617	20070323	Meemu	MV	20070323
2.55	72.914	2.167	73.369	20070324	Thaa	MV	20070324
2.113	73.245	1.782	73.597	20070325	Laamu	MV	20070325
-0.283	73.433	-0.284	73.434	20070326	Gnaviyani	MV	20070326
0.536	72.939	0.2	73.464	20070327	Gaafu Dhaalu	MV	20070327
0.884	73.05	0.352	73.511	20070328	Gaafu Alifu	MV	20070328
-0.566	73.082	-2.9	73.567	20070329	Seenu	MV	20070329
4.976	73.333	3.8	73.706	20070330	Kaafu	MV	20070330
4.17	73.492	4.162	73.501	20070331	Maale	MV	20070331
