top	left	bottom	right	slug	name	iso	woeid
-9.368	32.944	-10.578	33.951	20070124	Chitipa	MW	20070124
-9.583	33.47	-10.582	34.277	20070125	Karonga	MW	20070125
-10.443	33.246	-11.132	34.652	20070126	Rumphi	MW	20070126
-10.959	33.224	-12.738	34.097	20070127	Mzimba	MW	20070127
-12.364	32.923	-13.626	34.007	20070128	Kasungu	MW	20070128
-12.161	33.754	-13.507	34.561	20070129	Nkhotakota	MW	20070129
-13.014	33.616	-13.536	34.127	20070130	Ntchisi	MW	20070130
-13.358	32.674	-14.217	33.365	20070131	Mchinji	MW	20070131
-13.229	33.41	-13.838	34.301	20070132	Dowa	MW	20070132
-13.403	34.103	-14.127	34.861	20070133	Salima	MW	20070133
-13.481	33.245	-14.583	34.284	20070134	Lilongwe	MW	20070134
-13.863	33.645	-14.605	34.727	20070135	Dedza	MW	20070135
-13.479	34.712	-14.794	35.771	20070136	Mangochi	MW	20070136
-14.327	34.388	-15.329	34.985	20070137	Ntcheu	MW	20070137
-14.553	34.824	-15.328	35.917	20070138	Machinga	MW	20070138
-15.208	34.365	-15.817	35.018	20070139	Mwanza	MW	20070139
-15.194	34.988	-15.675	35.855	20070140	Zomba	MW	20070140
-15.443	35.28	-16.213	35.853	20070141	Mulanje	MW	20070141
-15.502	35.086	-16.008	35.331	20070142	Chiradzulu	MW	20070142
-15.348	34.72	-16.016	35.128	20070143	Blantyre	MW	20070143
-15.843	34.905	-16.407	35.329	20070144	Thyolo	MW	20070144
-16.314	34.894	-17.125	35.313	20070145	Nsanje	MW	20070145
-15.735	34.25	-16.689	35.118	20070146	Chikwawa	MW	20070146
-9.492	33.695	-12.235	34.958	20070147	Nkhata Bay	MW	20070147
