top	left	bottom	right	slug	name	iso	woeid
22.459	-102.875	21.622	-101.836	2346264	Aguascalientes	MX	2346264
32.7130681426	-118.407263149	27.9994282091	-112.541238777	2346265	Baja California	MX	2346265
28.0012885602	-115.753885057	22.8689403341	-109.406959805	2346266	Baja California Sur	MX	2346266
20.848	-92.468	17.809	-89.113	2346267	Campeche	MX	2346267
17.993682359	-94.1250760563	14.5462442079	-90.3806534496	2346268	Chiapas	MX	2346268
31.784	-109.074	25.56	-103.299	2346269	Chihuahua	MX	2346269
29.88	-103.951	24.541	-99.832	2346270	Coahuila de Zaragoza	MX	2346270
19.512	-104.701	18.685	-103.486	2346271	Colima	MX	2346271
19.5710537781	-99.334732225	19.0578034532	-98.9391491363	2346272	Distrito Federal	MX	2346272
26.844	-107.209	22.345	-102.472	2346273	Durango	MX	2346273
21.839	-102.096	19.912	-99.671	2346274	Guanajuato	MX	2346274
18.8706314156	-102.179571499	16.3216397163	-98.001738654	2346275	Guerrero	MX	2346275
21.3988491884	-99.8441068182	19.5855231792	-98.0001883613	2346276	Hidalgo	MX	2346276
22.7715819364	-105.683130256	18.9538304716	-101.520541958	2346277	Jalisco	MX	2346277
20.284	-100.613	18.366	-98.596	2346278	Mexico	MX	2346278
20.394	-103.751	17.906	-100.062	2346279	Michoacan de Ocampo	MX	2346279
19.1424494491	-99.5106904775	18.3499396837	-98.6464021476	2346280	Morelos	MX	2346280
23.0374055037	-106.68989051	20.6976000027	-103.944683397	2346281	Nayarit	MX	2346281
27.799	-101.206	23.165	-98.423	2346282	Nuevo Leon	MX	2346282
18.6688866233	-98.5526094224	15.6474689807	-93.864833544	2346283	Oaxaca	MX	2346283
20.839	-99.07	17.862	-96.725	2346284	Puebla	MX	2346284
21.669	-100.596	20.017	-99.047	2346285	Queretaro de Arteaga	MX	2346285
21.6234349639	-89.4153635324	17.8886241727	-86.7006196763	2346286	Quintana Roo	MX	2346286
24.491	-102.303	21.159	-98.33	2346287	San Luis Potosi	MX	2346287
27.042	-109.449	22.466	-105.393	2346288	Sinaloa	MX	2346288
32.494	-115.053	26.297	-108.424	2346289	Sonora	MX	2346289
18.6640807156	-94.1370649887	17.2520222028	-90.9916755844	2346290	Tabasco	MX	2346290
27.679	-100.144	22.207	-97.148	2346291	Tamaulipas	MX	2346291
19.728	-98.712	19.104	-97.627	2346292	Tlaxcala	MX	2346292
22.4805402691	-98.6422680325	17.1502196315	-93.5895015122	2346293	Veracruz-Llave	MX	2346293
22.565	-91.413	19.537	-87.366	2346294	Yucatan	MX	2346294
25.125	-104.328	21.042	-100.742	2346295	Zacatecas	MX	2346295
