top	left	bottom	right	slug	name	iso	woeid
-10.4690247538	37.9740959005	-14.1508155245	40.6551725603	2346311	Cabo Delgado	MZ	2346311
-21.2902247044	31.2787423035	-25.3793291155	34.4802006368	2346312	Gaza	MZ	2346312
-20.958	33.121	-24.857	35.605	2346313	Inhambane	MZ	2346313
-24.204	31.938	-26.869	33.136	2346314	Maputo	MZ	2346314
-16.8302385397	33.4084831069	-21.3218506817	36.1919307796	2346315	Sofala	MZ	2346315
-13.444	36.688	-16.884	40.844	2346316	Nampula	MZ	2346316
-11.2493905572	34.3536967305	-15.4943510879	38.4917387221	2346317	Niassa	MZ	2346317
-13.998	30.217	-17.712	35.347	2346318	Tete	MZ	2346318
-15.0040967748	35.131685418	-18.9004480934	39.129270868	2346319	Zambezia	MZ	2346319
-16.392	32.367	-21.581	34.531	2346320	Manica	MZ	2346320
