top	left	bottom	right	slug	name	iso	woeid
-17.3890674781	18.0001729676	-19.1889059383	20.9933752785	20069820	Okavango	NA	20069820
-17.4712846821	20.9864506364	-18.4780966121	25.2592647645	20069834	Caprivi	NA	20069834
-18.749	15.573	-22.38	20.999	20069835	Otjozondjupa	NA	20069835
-20.24	17.932	-23.867	20.999	20069836	Omaheke	NA	20069836
-20.493	13.628	-23.812	16.557	20069837	Erongo	NA	20069837
-25.009	14.801	-28.97	20.012	20069838	Karas	NA	20069838
-16.965	11.733	-21.19	16.721	20069839	Kunene	NA	20069839
-17.39	15.546	-17.932	17.998	20069840	Ohangwena	NA	20069840
-17.69	15.839	-19.535	18.199	20069841	Oshikoto	NA	20069841
-17.391	14.13	-19.418	15.654	20069842	Omusati	NA	20069842
-17.673	15.278	-19.331	16.038	20069843	Oshana	NA	20069843
-23.1809103331	14.4518624204	-25.8613151993	19.9815507344	20069844	Hardap	NA	20069844
-21.709	15.723	-24.088	18.501	20069845	Khomas	NA	20069845
