top	left	bottom	right	slug	name	iso	woeid
13.288	-85.212	11.045	-82.971	20069832	Región Autónoma del Atlántico Sur	NI	20069832
15.026	-85.518	13.029	-82.592	20069833	Región Autónoma del Atlántico Norte	NI	20069833
12.802	-85.986	11.902	-84.95	2346417	Boaco	NI	2346417
11.9569965686	-86.5022596911	11.5196072455	-86.0724668037	2346418	Carazo	NI	2346418
13.306	-87.69	12.379	-86.657	2346419	Chinandega	NI	2346419
12.649512437	-85.6566523909	11.6314608827	-84.5746254134	2346420	Chontales	NI	2346420
13.435	-86.746	12.852	-86.11	2346421	Estelí	NI	2346421
12.207	-86.133	11.603	-85.695	2346422	Granada	NI	2346422
14.58	-86.267	12.993	-84.884	2346423	Jinotega	NI	2346423
13.117	-87.118	11.994	-86.271	2346424	León	NI	2346424
13.6601484237	-86.7643108794	13.200357367	-86.0596768866	2346425	Madriz	NI	2346425
12.638	-86.679	11.714	-85.809	2346426	Managua	NI	2346426
12.156	-86.282	11.839	-85.961	2346427	Masaya	NI	2346427
13.355	-86.283	12.536	-85.086	2346428	Matagalpa	NI	2346428
14.0553956165	-86.7747495182	13.4851720241	-85.7431070628	2346429	Nueva Segovia	NI	2346429
11.89	-85.186	10.708	-83.665	2346430	Río San Juan	NI	2346430
11.902	-86.174	11.042	-85.146	2346431	Rivas	NI	2346431
