top	left	bottom	right	slug	name	iso	woeid
53.2045047067	6.12947635255	52.6114659696	7.07179609541	2346373	Drenthe	NL	2346373
53.514253242	4.87911339677	52.7893157571	6.43379886243	2346374	Friesland	NL	2346374
52.5217930197	5.00448042153	51.7348269722	6.81134687666	2346375	Gelderland	NL	2346375
53.576	6.167	52.838	7.228	2346376	Groningen	NL	2346376
51.777925117	5.55163048686	50.7479104678	6.20740441278	2346377	Limburg	NL	2346377
51.8350275739	4.18613243946	51.2168224145	6.04948123567	2346378	Noord-Brabant	NL	2346378
53.1878648953	4.49903323699	52.1681103155	5.37020754444	2346379	Noord-Holland	NL	2346379
52.8534150259	5.78515628424	52.1091193714	7.04781823073	2346380	Overijssel	NL	2346380
52.304	4.792	51.933	5.627	2346381	Utrecht	NL	2346381
51.7483661972	3.3491292662	51.2056603054	4.28106204628	2346382	Zeeland	NL	2346382
52.3260570342	3.86248294393	51.6375719263	5.1825574075	2346383	Zuid-Holland	NL	2346383
52.8387389184	5.09516008237	52.263926501	6.01976728723	2346384	Flevoland	NL	2346384
