top	left	bottom	right	slug	name	iso	woeid
-0.526	166.899	-0.539	166.908	20070298	Aiwo	NR	20070298
-0.537	166.899	-0.543	166.909	20070299	Boe	NR	20070299
-0.54	166.902	-0.551	166.915	20070300	Yaren	NR	20070300
-0.537	166.913	-0.552	166.934	20070301	Meneng	NR	20070301
-0.52	166.904	-0.528	166.914	20070302	Denigomodu	NR	20070302
-0.527	166.905	-0.541	166.923	20070303	Buada	NR	20070303
-0.522	166.922	-0.544	166.943	20070304	Anibare	NR	20070304
-0.517	166.932	-0.526	166.945	20070305	Ijuw	NR	20070305
-0.514	166.909	-0.531	166.924	20070306	Nibok	NR	20070306
-0.512	166.915	-0.53	166.926	20070307	Uaboe	NR	20070307
-0.506	166.928	-0.524	166.945	20070308	Anabar	NR	20070308
-0.507	166.917	-0.525	166.929	20070309	Baiti	NR	20070309
-0.504	166.922	-0.522	166.933	20070310	Ewa	NR	20070310
-0.504	166.929	-0.52	166.939	20070311	Anetan	NR	20070311
