top	left	bottom	right	slug	name	iso	woeid
-44.2656181784	166.466562942	-47.277682387	169.225050897	15021750	Southland	NZ	15021750
-41.9149089499	169.544204543	-45.060401707	174.081705357	15021751	Canterbury	NZ	15021751
-40.776	168.052	-44.499	172.692	15021752	West Coast	NZ	15021752
-37.3686748188	175.809248489	-39.1665495742	178.077327102	15021753	Bay of Plenty	NZ	15021753
-43.9626392557	168.126099888	-46.660769138	171.158679641	15021754	Otago	NZ	15021754
-34.3977450502	172.674039342	-36.3994833314	174.656140578	15021755	Northland	NZ	15021755
-36.0627596979	174.182267694	-39.2972909484	176.507603795	15021756	Auckland	NZ	15021756
-40.5021269667	172.064050735	-42.3125074193	173.285268183	15021757	Tasman	NZ	15021757
-41.053	173.199	-41.393	173.599	15021758	Nelson	NZ	15021758
-40.7088326964	172.706285435	-42.4712574196	174.401375767	15021759	Marlborough	NZ	15021759
-39.6786630185	176.943752884	-39.6813501928	176.950574172	15021760	Hawke's Bay	NZ	15021760
-37.5515060357	176.103494094	-40.4540678854	178.566186151	15021761	Gisborne	NZ	15021761
-40.659	174.613	-41.614	176.333	15021762	Wellington	NZ	15021762
-38.7073527976	173.759347773	-39.8594271787	175.067691686	15021763	Taranaki	NZ	15021763
-38.5624520807	174.600019973	-41.620404962	176.629663528	15021764	Manawatu Wanganui	NZ	15021764
-36.468	174.611	-39.301	176.505	15021765	Waikato	NZ	15021765
