top	left	bottom	right	slug	name	iso	woeid
9.617	-82.939	8.813	-82.0	2346551	Bocas del Toro	PA	2346551
8.923	-83.051	7.946	-81.573	2346552	Chiriquí	PA	2346552
9.055	-80.858	8.09	-80.047	2346553	Coclé	PA	2346553
9.65	-80.875	8.63	-79.081	2346554	Colón	PA	2346554
9.11	-78.483	7.221	-77.174	2346555	Darién	PA	2346555
8.13852163347	-80.9469915429	7.52956655535	-80.375527717	2346556	Herrera	PA	2346556
8.0	-80.732	7.228	-79.994	2346557	Los Santos	PA	2346557
9.495	-80.176	8.196	-78.071	2346558	Panamá	PA	2346558
9.55202708618	-79.2810467192	8.5382905132	-77.3735145735	2346559	Kuna Yala	PA	2346559
8.87687449776	-81.8828258941	7.20565867741	-80.6040667386	2346560	Veraguas	PA	2346560
8.771	-78.364	7.6	-77.24	28358286	Emberá	PA	28358286
9.2	-82.424	8.184	-81.135	28358287	Ngöbe Buglé	PA	28358287
