top	left	bottom	right	slug	name	iso	woeid
-2.96669198944	-78.7753669907	-7.01321502066	-77.1636824209	2346468	Amazonas	PE	2346468
-8.01072519251	-78.6830470447	-10.7482841934	-76.7381528389	2346469	Ancash	PE	2346469
-13.182	-73.826	-14.831	-72.074	2346470	Apurímac	PE	2346470
-14.627	-75.077	-17.299	-70.849	2346471	Arequipa	PE	2346471
-12.1471135395	-75.1318684561	-15.608349298	-72.8357295398	2346472	Ayacucho	PE	2346472
-4.614	-79.48	-7.765	-77.75	2346473	Cajamarca	PE	2346473
-11.941	-77.257	-12.134	-77.088	2346474	Provincia Constitucional del Callao	PE	2346474
-11.244	-73.947	-15.325	-70.349	2346475	Cusco	PE	2346475
-11.982	-75.78	-14.121	-74.27	2346476	Huancavelica	PE	2346476
-8.349	-77.322	-10.474	-74.499	2346477	Huánuco	PE	2346477
-12.956	-76.471	-15.441	-74.74	2346478	Ica	PE	2346478
-10.604	-76.534	-12.696	-73.442	2346479	Junín	PE	2346479
-6.96091847061	-79.706266242	-8.9676176901	-76.8563110016	2346480	La Libertad	PE	2346480
-5.54	-80.705	-7.134	-79.148	2346481	Lambayeque	PE	2346481
-10.2868136536	-77.8921134104	-13.3218221981	-75.4671968247	2346482	Lima	PE	2346482
-0.0288351371318	-77.8104646471	-8.64515675208	-69.9631916977	2346483	Loreto	PE	2346483
-9.95639454557	-72.3837933012	-13.3467302388	-68.6848459543	2346484	Madre de Dios	PE	2346484
-15.9852771946	-71.4883699205	-17.7931771785	-70.0207592435	2346485	Moquegua	PE	2346485
-9.64984994852	-76.7499609032	-11.1034046365	-74.1671469796	2346486	Pasco	PE	2346486
-4.082	-81.327	-6.377	-79.236	2346487	Piura	PE	2346487
-13.006	-71.131	-17.312	-68.814	2346488	Puno	PE	2346488
-5.317	-77.773	-8.745	-75.477	2346489	San Martin	PE	2346489
-16.78	-71.12	-18.35	-69.463	2346490	Tacna	PE	2346490
-3.405	-81.038	-4.238	-80.156	2346491	Tumbes	PE	2346491
-7.32032805759	-75.974142626	-11.4292762183	-70.524397753	2346492	Ucayali	PE	2346492
-11.616	-77.734	-12.43	-76.688	28358302	Lima Metropolitan Area	PE	28358302
