top	left	bottom	right	slug	name	iso	woeid
16.6512320012	121.287615187	15.9242996284	122.037543573	23424715	Cagayan Valley	PH	23424715
16.920982978	120.471954381	16.1869192566	120.906449823	23424716	Cordillera Administrative Region	PH	23424716
14.8904609234	121.107884556	14.290549221	121.46052453	23424717	Calabarzon	PH	23424717
14.7717601584	120.926396926	14.3757119817	121.143437942	23424718	National Capital Region	PH	23424718
13.5302338727	120.779222447	12.2197712265	121.552921991	23424719	Mimaropa	PH	23424719
14.0921117215	124.026052687	13.5227407907	124.418070103	23424720	Bicol Region	PH	23424720
10.4450991885	122.597095982	9.03515941008	123.365937942	23424721	Central Visayas	PH	23424721
15.852521064	119.867133417	14.7563089054	120.460068801	23424722	Central Luzon	PH	23424722
12.5911180689	124.133332961	12.2262307806	125.349692824	23424723	Eastern Visayas	PH	23424723
16.3872687849	119.755822382	15.6140343283	120.925983514	23424724	Ilocos Region	PH	23424724
11.5213125678	116.954959751	7.79838735619	120.011310663	23424725	Western Visayas	PH	23424725
9.4922374541	125.727034133	7.89936310512	126.466317173	23424726	Caraga	PH	23424726
7.99568797412	125.954307082	6.28313100819	126.61772912	23424727	Davao Region	PH	23424727
6.21295441332	124.370114374	5.85850576373	125.112291294	23424728	Soccsksargen	PH	23424728
7.25997060816	124.154727004	7.12168447506	124.339521926	23424729	Autonomous Region in Muslim Mindanao	PH	23424729
9.08166819953	124.261800572	8.23706858964	125.233420852	23424730	Northern Mindanao	PH	23424730
8.23179759388	122.913872512	7.36859446876	123.704005162	23424731	Zamboanga Peninsula	PH	23424731
