top	left	bottom	right	slug	name	iso	woeid
51.805	14.817	50.096	17.799	12577935	Dolnosląskie	PL	12577935
53.6960250926	17.2974768411	52.2784113632	19.7478699074	12577936	Kujawsko-Pomorskie	PL	12577936
52.394	18.075	50.843	20.659	12577937	Łódzkie	PL	12577937
52.288	21.617	50.252	24.146	12577938	Lubelskie	PL	12577938
53.1099368351	14.5392989434	51.3963463404	16.371125116	12577939	Lubuskie	PL	12577939
50.4844640164	19.1123531431	49.1734587669	21.5142737161	12577940	Małopolskie	PL	12577940
53.4435082054	19.2959078304	51.0131655952	23.0869942562	12577941	Mazowieckie	PL	12577941
51.195	16.909	49.972	18.696	12577942	Opolskie	PL	12577942
50.8297659366	21.2101062358	48.9942190619	23.6581221862	12577943	Podkarpackie	PL	12577943
54.411	21.594	52.279	23.946	12577944	Podlaskie	PL	12577944
54.8383067901	16.785260044	53.4337930362	19.7588253109	12577945	Pomorskie	PL	12577945
51.0371176215	18.0190865412	49.3870116235	19.9656343934	12577946	Sląskie	PL	12577946
51.2899445661	19.7416687356	50.1744054228	21.8486202327	12577947	Swiętokrzyskie	PL	12577947
54.4344296328	19.128269484	53.093141995	22.8139359884	12577948	Warminsko-Mazurskie	PL	12577948
53.5952043724	15.825732049	51.0658238796	19.0785567564	12577949	Wielkopolskie	PL	12577949
54.5766431745	14.1235103699	52.5963764509	17.0576981951	12577950	Zachodniopomorskie	PL	12577950
