top	left	bottom	right	slug	name	iso	woeid
18.414	-65.931	18.253	-65.836	20070566	Canóvanas	PR	20070566
18.388	-66.592	18.337	-66.531	20070567	Florida	PR	20070567
18.251	-66.837	18.112	-66.665	2346789	Adjuntas	PR	2346789
18.18	-66.321	18.076	-66.217	2346790	Aibonito	PR	2346790
18.25	-66.374	18.152	-66.241	2346791	Barranquitas	PR	2346791
18.169	-66.227	18.037	-66.051	2346792	Cayey	PR	2346792
18.372	-66.611	18.156	-66.453	2346793	Ciales	PR	2346793
18.23	-66.245	18.133	-66.094	2346794	Cidra	PR	2346794
18.177	-66.444	18.015	-66.258	2346795	Coamo	PR	2346795
18.3	-66.655	18.15	-66.531	2346796	Jayuya	PR	2346796
18.27	-65.952	18.143	-65.852	2346797	Juncos	PR	2346797
18.368	-66.913	18.17	-66.817	2346798	Lares	PR	2346798
18.275	-65.928	18.118	-65.816	2346799	Las Piedras	PR	2346799
18.208	-67.051	18.138	-66.837	2346800	Maricao	PR	2346800
18.461	-67.134	18.307	-67.027	2346801	Moca	PR	2346801
18.378	-66.465	18.256	-66.365	2346802	Morovis	PR	2346802
18.294	-66.547	18.147	-66.35	2346803	Orocovis	PR	2346803
18.151	-66.985	18.023	-66.885	2346804	Sabana Grande	PR	2346804
18.174	-67.109	18.052	-66.97	2346805	San Germán	PR	2346805
18.229	-66.053	18.076	-65.921	2346806	San Lorenzo	PR	2346806
18.401	-66.319	18.316	-66.197	2346807	Toa Alta	PR	2346807
18.35	-66.831	18.15	-66.567	2346808	Utuado	PR	2346808
18.179	-66.53	18.081	-66.418	2346809	Villalba	PR	2346809
18.171	-66.926	17.955	-66.796	2346810	Yauco	PR	2346810
18.494	-66.771	18.315	-66.58	2346811	Arecibo	PR	2346811
18.477	-66.264	18.389	-66.134	2346812	Toa Baja	PR	2346812
18.462	-66.17	18.421	-66.11	2346813	Cataño	PR	2346813
18.441	-66.144	18.278	-66.08	2346814	Guaynabo	PR	2346814
18.472	-66.125	18.297	-65.992	2346815	San Juan	PR	2346815
18.461	-65.993	18.378	-65.829	2346816	Loíza	PR	2346816
18.423	-65.877	18.272	-65.749	2346817	Río Grande	PR	2346817
18.39	-65.77	18.288	-65.67	2346818	Luquillo	PR	2346818
18.402	-65.754	18.267	-65.551	2346819	Fajardo	PR	2346819
18.297	-65.767	18.199	-65.575	2346820	Ceiba	PR	2346820
18.352	-65.347	18.277	-65.221	2346821	Culebra	PR	2346821
18.165	-65.578	18.08	-65.267	2346822	Vieques	PR	2346822
18.297	-65.831	18.173	-65.658	2346823	Naguabo	PR	2346823
18.207	-65.878	18.069	-65.73	2346824	Humacao	PR	2346824
18.126	-66.011	18.011	-65.795	2346825	Yabucoa	PR	2346825
18.061	-65.989	17.98	-65.851	2346826	Maunabo	PR	2346826
18.11	-66.089	17.968	-65.909	2346827	Patillas	PR	2346827
18.041	-66.095	17.952	-66.02	2346828	Arroyo	PR	2346828
18.108	-66.217	17.921	-66.053	2346829	Guayama	PR	2346829
18.096	-66.343	17.913	-66.166	2346830	Salinas	PR	2346830
18.043	-66.452	17.92	-66.331	2346831	Santa Isabel	PR	2346831
18.153	-66.565	17.923	-66.421	2346832	Juana Díaz	PR	2346832
18.172	-66.699	17.881	-66.51	2346833	Ponce	PR	2346833
18.135	-66.77	17.965	-66.677	2346834	Peñuelas	PR	2346834
18.139	-66.852	17.95	-66.733	2346835	Guayanilla	PR	2346835
18.034	-66.982	17.927	-66.86	2346836	Guánica	PR	2346836
18.066	-67.116	17.946	-66.959	2346837	Lajas	PR	2346837
18.324	-67.225	18.243	-67.038	2346838	Añasco	PR	2346838
18.376	-67.271	18.297	-67.182	2346839	Rincón	PR	2346839
18.516	-67.103	18.375	-66.922	2346840	Isabela	PR	2346840
18.415	-67.239	18.313	-67.127	2346841	Aguada	PR	2346841
18.513	-67.169	18.386	-67.056	2346842	Aguadilla	PR	2346842
18.29	-67.082	18.188	-66.899	2346843	Las Marías	PR	2346843
18.492	-66.968	18.366	-66.899	2346844	Quebradillas	PR	2346844
18.395	-67.053	18.252	-66.892	2346845	San Sebastián	PR	2346845
18.492	-66.901	18.343	-66.81	2346846	Camuy	PR	2346846
18.493	-66.839	18.321	-66.765	2346847	Hatillo	PR	2346847
18.391	-67.954	18.053	-67.017	2346848	Mayagüez	PR	2346848
18.168	-67.216	17.932	-67.098	2346849	Cabo Rojo	PR	2346849
18.16	-67.16	18.104	-67.078	2346850	Hormigueros	PR	2346850
18.486	-66.544	18.35	-66.439	2346851	Manatí	PR	2346851
18.491	-66.593	18.382	-66.521	2346852	Barceloneta	PR	2346852
18.381	-66.041	18.293	-65.939	2346853	Trujillo Alto	PR	2346853
18.458	-66.043	18.27	-65.902	2346854	Carolina	PR	2346854
18.312	-66.118	18.114	-65.998	2346855	Caguas	PR	2346855
18.311	-66.031	18.207	-65.919	2346856	Gurabo	PR	2346856
18.277	-66.271	18.173	-66.169	2346857	Comerío	PR	2346857
18.303	-66.191	18.198	-66.066	2346858	Aguas Buenas	PR	2346858
18.431	-66.214	18.259	-66.118	2346859	Bayamón	PR	2346859
18.334	-66.314	18.241	-66.205	2346860	Naranjito	PR	2346860
18.48	-66.317	18.383	-66.198	2346861	Dorado	PR	2346861
18.37	-66.383	18.239	-66.278	2346862	Corozal	PR	2346862
18.486	-66.378	18.331	-66.299	2346863	Vega Alta	PR	2346863
18.494	-66.449	18.342	-66.348	2346864	Vega Baja	PR	2346864
