top	left	bottom	right	slug	name	iso	woeid
39.7284280464	-31.284777391	36.9344383813	-25.0120853337	15021776	Azores	PT	15021776
41.081	-8.784	40.279	-8.086	2346562	Aveiro	PT	2346562
38.331	-8.819	37.319	-6.931	2346563	Beja	PT	2346563
41.82	-8.811	41.319	-7.811	2346564	Braga	PT	2346564
41.993	-7.432	41.025	-6.189	2346565	Bragança	PT	2346565
40.416	-8.292	39.537	-6.864	2346566	Castelo Branco	PT	2346566
40.52	-8.909	39.93	-7.731	2346567	Coimbra	PT	2346567
39.026	-8.658	38.167	-7.107	2346568	Evora	PT	2346568
37.529	-8.997	36.962	-7.399	2346569	Faro	PT	2346569
33.110899156	-17.2519646873	30.0292267933	-15.8549698548	2346570	Madeira	PT	2346570
41.179	-7.849	40.23	-6.781	2346571	Guarda	PT	2346571
40.09	-9.517	39.211	-8.107	2346572	Leiria	PT	2346572
39.317	-9.5	38.663	-8.782	2346573	Lisboa	PT	2346573
39.663	-8.344	38.752	-6.951	2346574	Portalegre	PT	2346574
41.472	-8.789	41.001	-7.875	2346575	Porto	PT	2346575
39.838	-9.002	38.731	-7.809	2346576	Santarém	PT	2346576
38.86	-9.263	37.75	-8.13	2346577	Setúbal	PT	2346577
42.154	-8.881	41.606	-8.083	2346578	Viana do Castelo	PT	2346578
41.927	-8.125	41.118	-7.171	2346579	Vila Real	PT	2346579
41.215	-8.356	40.322	-7.304	2346580	Viseu	PT	2346580
