top	left	bottom	right	slug	name	iso	woeid
3.009	131.169	3.001	131.175	24549812	Hatohobei	PW	24549812
7.732	134.615	7.682	134.652	24549813	Ngarchelong	PW	24549813
7.687	134.61	7.577	134.654	24549814	Ngaraard	PW	24549814
7.599	134.61	7.537	134.647	24549815	Ngiwal	PW	24549815
7.623	134.54	7.573	134.625	24549816	Ngardmau	PW	24549816
7.577	134.505	7.487	134.617	24549817	Ngeremlengui	PW	24549817
7.548	134.588	7.508	134.638	24549818	Melekeok	PW	24549818
7.412	134.519	7.329	134.602	24549819	Airai	PW	24549819
7.494	134.522	7.413	134.581	24549820	Ngatpang	PW	24549820
7.501	134.474	7.38	134.559	24549821	Aimeliik	PW	24549821
7.36	134.286	7.136	134.525	24549822	Koror	PW	24549822
7.049	134.232	6.974	134.277	24549823	Peleliu	PW	24549823
6.924	134.123	6.886	134.158	24549824	Angaur	PW	24549824
4.666	131.959	4.312	132.318	24549825	Sonsorol	PW	24549825
8.093	134.711	8.049	134.724	24549826	Kayangel	PW	24549826
7.513	134.558	7.409	134.644	24549827	Ngchesar	PW	24549827
