top	left	bottom	right	slug	name	iso	woeid
-25.247	-57.651	-25.372	-57.531	20070148	Asunción	PY	20070148
-24.448	-55.579	-26.25	-54.339	2346448	Alto Paraná	PY	2346448
-22.0743112118	-56.8431656566	-23.8650546204	-55.5144612294	2346449	Amambay	PY	2346449
-20.074	-62.647	-23.874	-59.375	2346450	Boquerón	PY	2346450
-24.492	-56.823	-25.702	-55.217	2346451	Caaguazú	PY	2346451
-25.525	-56.782	-26.762	-55.231	2346452	Caazapá	PY	2346452
-25.131	-57.815	-26.0	-57.251	2346453	Central	PY	2346453
-22.046	-58.049	-23.501	-56.111	2346454	Concepción	PY	2346454
-24.9152747534	-57.4549887761	-25.6626709934	-56.4945047676	2346455	Cordillera	PY	2346455
-25.57	-56.875	-26.166	-55.618	2346456	Guairá	PY	2346456
-26.061	-56.7	-27.609	-54.65	2346457	Itapúa	PY	2346457
-26.4028325337	-57.7054902817	-27.5066411271	-56.5319701805	2346458	Misiones	PY	2346458
-25.803	-58.663	-27.441	-57.171	2346459	Ñeembucú	PY	2346459
-25.365	-57.711	-26.65	-56.583	2346460	Paraguarí	PY	2346460
-22.0830445291	-60.792666185	-25.2899805638	-57.0906699286	2346461	Presidente Hayes	PY	2346461
-23.311	-57.501	-25.063	-55.759	2346462	San Pedro	PY	2346462
-19.2865227193	-61.9252327133	-22.4230237767	-57.8166462878	2346463	Alto Paraguay	PY	2346463
-23.555	-56.157	-24.839	-54.259	2346464	Canindeyú	PY	2346464
