top	left	bottom	right	slug	name	iso	woeid
25.8855520699	50.894392531	25.6968039003	51.3459411968	20070004	Al Ghuwairiya	QA	20070004
26.183	50.96	25.842	51.417	20070005	Madinat Al Shamal	QA	20070005
25.9541008568	51.2473942398	25.5506371115	51.5949182472	20070006	Al Khor	QA	20070006
25.565778307	51.2871334167	25.359692695	51.5189538917	20070007	Umm Slal	QA	20070007
25.421	51.448	25.225	51.647	20070008	Doha	QA	20070008
25.809	50.751	25.079	51.268	20070009	Al Jemailiya	QA	20070009
25.486584174	51.1410958191	25.0608478864	51.5432934916	20070010	Al Rayyan	QA	20070010
25.3150442575	50.7686120951	24.5601807721	51.4745121598	20070011	Jeryan Al Batna	QA	20070011
25.2432140162	51.3317818541	24.7644835475	51.6168290543	20070012	Al Wakra	QA	20070012
25.082	51.106	24.471	51.63	55922500	Mesaieed	QA	55922500
