top	left	bottom	right	slug	name	iso	woeid
46.5669770371	22.6868636412	45.4473037786	24.1974691102	2346615	Alba	RO	2346615
46.68	20.703	45.908	22.748	2346616	Arad	RO	2346616
45.6029015167	24.4378161961	44.3876785347	25.3339372087	2346617	Arges	RO	2346617
46.831	25.98	46.024	27.507	2346618	Bacau	RO	2346618
47.595234687	21.4230648132	46.366524156	22.8078898453	2346619	Bihor	RO	2346619
47.606	23.925	46.752	25.093	2346620	Bistrita-Nasaud	RO	2346620
48.266	26.03	47.438	27.392	2346621	Botosani	RO	2346621
45.493	27.07	44.746	28.197	2346622	Braila	RO	2346622
46.183	24.632	45.383	26.103	2346623	Brasov	RO	2346623
44.542	25.956	44.334	26.226	2346624	Bucuresti	RO	2346624
45.801	26.047	44.731	27.442	2346625	Buzau	RO	2346625
45.6628978544	21.3424495787	44.5961412627	22.7068624205	2346626	Caras-Severin	RO	2346626
47.37	22.65	46.4	24.242	2346627	Cluj	RO	2346627
44.804	27.273	43.735	28.992	2346628	Constanta	RO	2346628
46.285	25.447	45.516	26.443	2346629	Covasna	RO	2346629
45.443	25.128	44.413	25.992	2346630	Dambovita	RO	2346630
44.7345824245	22.8501611669	43.7550556503	24.2934839208	2346631	Dolj	RO	2346631
46.167	27.229	45.39	28.216	2346632	Galati	RO	2346632
45.3525808783	22.5625301453	44.5503042668	23.843330519	2346633	Gorj	RO	2346633
47.1403270534	24.8704512874	46.1058682316	26.3001831394	2346634	Harghita	RO	2346634
46.352	22.34	45.225	23.604	2346635	Hunedoara	RO	2346635
44.8650654163	26.2696423687	44.3547089703	28.1102535337	2346636	Ialomita	RO	2346636
47.59	26.492	46.82	28.128	2346637	Iasi	RO	2346637
48.0061656768	22.966019728	47.3048648143	25.0323018731	2346638	Maramures	RO	2346638
45.092390042	22.034035272	44.1006676298	23.4893986342	2346639	Mehedinti	RO	2346639
47.1029649932	23.9674573094	46.0635969101	25.289392124	2346640	Mures	RO	2346640
47.2970099961	25.6712809589	46.6292988147	27.2394539728	2346641	Neamt	RO	2346641
44.9141063504	23.9049288262	43.753350328	24.8513310073	2346642	Olt	RO	2346642
45.5125194361	25.4297969906	44.738148098	26.6038855326	2346643	Prahova	RO	2346643
47.4169509955	22.4942655783	46.8719713405	23.8287577652	2346644	Salaj	RO	2346644
48.122	22.187	47.347	23.646	2346645	Satu Mare	RO	2346645
46.284	23.59	45.471	24.948	2346646	Sibiu	RO	2346646
47.984	24.946	47.078	26.687	2346647	Suceava	RO	2346647
44.5295303413	24.6306726414	43.6504625511	25.7328792662	2346648	Teleorman	RO	2346648
46.1745203722	20.2424133643	45.1527481148	22.5436165707	2346649	Timis	RO	2346649
45.467	27.995	44.621	29.719	2346650	Tulcea	RO	2346650
46.988	27.188	46.005	28.262	2346651	Vaslui	RO	2346651
45.589	23.576	44.489	24.524	2346652	Valcea	RO	2346652
46.1743395042	26.3804366387	45.3851887075	27.5800533381	2346653	Vrancea	RO	2346653
44.597	26.255	44.038	27.88	2346654	Calarasi	RO	2346654
44.558	25.457	43.69	26.43	2346655	Giurgiu	RO	2346655
44.769	25.829	44.232	26.466	29281934	Ilfov	RO	29281934
