top	left	bottom	right	slug	name	iso	woeid
46.191	19.291	45.622	19.905	29389196	Severna Bachka	RS	29389196
45.801	20.045	45.094	21.029	29389197	Srednji Banat	RS	29389197
44.86	21.043	44.127	22.005	29389198	Branichevo	RS	29389198
43.894	20.801	43.162	21.571	29389199	Rasina	RS	29389199
43.451	22.105	42.861	23.007	29389200	Pirot	RS	29389200
42.5235545922	20.4737170754	41.8443454048	20.9841768733	29389201	Kosovo	RS	29389201
44.976	19.115	44.105	20.007	29389202	Machva	RS	29389202
46.179	19.795	45.608	20.673	29389203	Severni Banat	RS	29389203
46.041	18.815	45.43	19.632	29389204	Zapadna Bachka	RS	29389204
45.218	19.025	44.625	20.363	29389205	Srem	RS	29389205
44.72	21.749	43.951	22.768	29389206	Bor	RS	29389206
43.289	20.515	42.613	21.124	29389207	Kosovska Mitrovica	RS	29389207
43.195	21.381	42.65	22.515	29389208	Jablanica	RS	29389208
42.544	20.483	41.909	20.996	29389209	Prizren	RS	29389209
44.297	19.918	43.289	20.658	29389210	Moravica	RS	29389210
44.736	20.75	44.205	21.195	29389211	Podunavlje	RS	29389211
45.777	18.968	45.153	20.316	29389212	Juzhna Bachka	RS	29389212
44.211	21.63	43.371	22.627	29389213	Zajechar	RS	29389213
44.1450060089	19.1746749207	43.0221546498	20.2821008644	29389214	Pech	RS	29389214
42.819	21.521	42.259	22.569	29389215	Pchinja	RS	29389215
44.19	19.214	42.985	20.287	29389216	Zlatibor	RS	29389216
45.0820805935	19.96119022	44.2404523788	20.8390694517	29389217	Beograd	RS	29389217
42.75	21.258	42.244	21.762	29389218	Kosovsko Pomoravlje	RS	29389218
43.443	20.943	42.883	21.796	29389219	Toplica	RS	29389219
44.608	19.437	44.089	20.454	29389220	Kolubara	RS	29389220
44.355	20.935	43.765	21.8	29389221	Pomoravlje	RS	29389221
45.335	20.418	44.658	21.565	29389222	Juzhni Banat	RS	29389222
43.865	21.451	43.082	22.309	29389223	Nishava	RS	29389223
43.915	20.027	42.824	20.975	29389224	Rashka	RS	29389224
44.474	20.42	43.827	21.168	29389225	Shumadija	RS	29389225
