top	left	bottom	right	slug	name	iso	woeid
60.229	29.529	59.625	30.553	20070507	St. Peterburg	RU	20070507
81.858621324	35.8573775573	60.6459626325	69.0339571475	20070508	Arkhangelrskaya Oblast	RU	20070508
81.857	43.249	65.805	69.07	20070509	Nenetskiy Avtonomnyy Okrug	RU	20070509
61.149	51.955	58.592	56.368	20070510	Komi-Permyatskiy Avtonomnyy Okrug	RU	20070510
61.648	53.787	56.092	59.713	20070511	Permskiy Kray	RU	20070511
66.668	144.578	58.833	163.399	20070512	Magadanskaya Oblast	RU	20070512
71.612	157.634	61.801	-169.002	20070513	Chukotskiy Avtonomnyy Okrug	RU	20070513
58.367	155.547	50.869	168.134	20070514	Kamchatskaya Oblast	RU	20070514
64.721	155.64	55.652	174.305	20070515	Koryakskiy Avtonomnyy Okrug	RU	20070515
49.577	130.523	47.66	134.987	20070516	Yevreyskaya Avtonomnaya Oblast	RU	20070516
51.794	112.254	50.402	115.942	20070517	Aginskiy Buryatskiy Avtonomnyy Okrug	RU	20070517
54.117	102.014	52.449	106.112	20070518	Ust-ordynskiy Buryatskiy Avtonomnyy Okrug	RU	20070518
55.558	88.036	51.649	91.954	20070519	Khakasiya	RU	20070519
45.216	38.684	43.735	40.818	20070520	Adygeya	RU	20070520
43.559	44.53	42.643	45.186	20070521	Ingushetiya	RU	20070521
44.51	40.726	43.194	42.748	20070522	Karachayevo-Cherkesiya	RU	20070522
82.5	76.114	51.842	113.92	20070524	Krasnoyarskiy Kray	RU	20070524
73.526	61.307	62.258	86.048	20070525	Yamalo-Nenetskiy Avtonomnyy Okrug	RU	20070525
66.017	59.473	58.408	85.595	20070526	Khanty-Mansiyskiy Avtonomnyy Okrug	RU	20070526
59.9891810171	64.8273922057	55.1321906604	75.1594747257	20070528	Tyumenskaya Oblast	RU	20070528
54.479	77.875	50.738	87.159	20070529	Altayskiy Kray	RU	20070529
52.667793281	84.0049296405	49.0712427845	89.8691711767	20070530	Altay	RU	20070530
56.5384097357	53.1404569844	51.5720978864	59.9745618016	2346866	Bashkortostan	RU	2346866
57.24	98.894	49.953	116.922	2346867	Buryatiya	RU	2346867
44.0151948107	44.8385347838	42.4704828967	46.6755285985	2346868	Chechnya	RU	2346868
56.27	45.896	54.576	48.397	2346869	Chuvashiya	RU	2346869
45.0005093446	45.1049784687	41.1929122996	48.5785648948	2346870	Dagestan	RU	2346870
44.012	42.42	42.889	44.441	2346871	Kabardino-Balkariya	RU	2346871
48.226	41.662	44.696	47.595	2346872	Kalmykiya	RU	2346872
66.692	29.215	60.706	38.02	2346873	Kareliya	RU	2346873
61.0938422712	51.7742354675	58.6344058293	56.2935461772	2346874	Komi	RU	2346874
57.3301185164	45.6286674333	55.8281688503	50.1975875178	2346875	Mariy-El	RU	2346875
55.195	42.266	53.661	46.693	2346876	Mordoviya	RU	2346876
43.836	43.386	42.558	44.936	2346877	Severnaya Osetiya-Alaniya	RU	2346877
56.6761015896	47.2419022967	53.9691608748	54.2309330583	2346878	Tatarstan	RU	2346878
53.571	89.092	49.757	99.206	2346879	Tyva	RU	2346879
58.498	51.164	55.861	54.373	2346880	Udmurtiya	RU	2346880
77.006	106.095	55.582	162.574	2346881	Sakha	RU	2346881
62.265	130.801	46.625	146.8	2346883	Khabarovskiy Kray	RU	2346883
46.876	36.517	43.383	41.748	2346884	Krasnodarskiy Kray	RU	2346884
48.438	130.404	42.284	139.045	2346886	Primorskiy Kray	RU	2346886
46.2414155136	40.840845982	43.6521161975	45.7173441915	2346887	Stavropolrskiy Kray	RU	2346887
57.046	120.955	48.852	134.208	2346888	Amurskaya Oblast	RU	2346888
48.8689037139	44.9841589702	45.4478205426	49.3060657083	2346890	Astrakhanskaya Oblast	RU	2346890
51.41	35.333	49.743	39.44	2346891	Belgorodskaya Oblast	RU	2346891
54.035	31.244	51.863	35.338	2346892	Bryanskaya Oblast	RU	2346892
56.343	57.129	51.96	63.284	2346893	Chelyabinskaya Oblast	RU	2346893
58.582	107.764	49.145	122.157	2346894	Chitinskaya Oblast	RU	2346894
58.062	41.725	54.495	47.642	2346895	Nizhegorodskaya Oblast	RU	2346895
64.2997189396	95.6531075377	51.1318663602	119.132811314	2346896	Irkutskaya Oblast	RU	2346896
57.785	39.41	56.338	43.276	2346897	Ivanovskaya Oblast	RU	2346897
58.86	30.806	55.646	38.284	2346898	Tverskaya Oblast	RU	2346898
55.296	33.441	53.271	37.291	2346899	Kaluzhskaya Oblast	RU	2346899
56.825	84.468	52.212	89.4	2346901	Kemerovskaya Oblast	RU	2346901
61.072	46.306	56.07	53.924	2346902	Kirovskaya Oblast	RU	2346902
59.6325361196	40.3851632019	57.2763491889	47.6043607931	2346903	Kostromskaya Oblast	RU	2346903
56.841	62.013	54.194	68.734	2346904	Kurganskaya Oblast	RU	2346904
52.433	34.101	50.941	38.468	2346905	Kurskaya Oblast	RU	2346905
54.6763528507	47.9451151871	51.759683336	52.5385299012	2346906	Samarskaya Oblast	RU	2346906
61.289	26.932	58.445	35.687	2346907	Leningradskaya Oblast	RU	2346907
53.582	37.742	51.904	40.701	2346908	Lipetskaya Oblast	RU	2346908
55.943	37.334	55.576	37.909	2346910	Moskva	RU	2346910
56.946	35.137	54.25	40.183	2346911	Moskovskaya Oblast	RU	2346911
69.954	28.435	66.044	41.404	2346912	Murmanskaya Oblast	RU	2346912
59.432	29.605	56.911	36.255	2346913	Novgorodskaya Oblast	RU	2346913
57.156	75.107	53.304	85.039	2346914	Novosibirskaya Oblast	RU	2346914
58.408	70.356	53.445	76.41	2346915	Omskaya Oblast	RU	2346915
54.356	50.852	50.514	61.676	2346916	Orenburgskaya Oblast	RU	2346916
53.631	34.842	51.962	38.042	2346917	Orlovskaya Oblast	RU	2346917
54.004	42.119	52.294	47.012	2346918	Penzenskaya Oblast	RU	2346918
59.0143826362	27.3275622903	55.5775898304	31.5105627785	2346920	Pskovskaya Oblast	RU	2346920
