top	left	bottom	right	slug	name	iso	woeid
20.7628673362	40.7990397475	19.3647097845	42.0338997744	2346949	Al Baha	SA	2346949
31.676	37.006	28.17	41.225	2346950	Al Jawf	SA	2346950
28.029	41.611	19.304	47.645	2346951	Ar Riyad	SA	2346951
28.711	40.862	24.576	44.099	2346952	Al Qasim	SA	2346952
29.0960796164	44.9386837095	17.0938148057	55.6373588401	2346954	Ash Sharqiyah	SA	2346954
20.9762393256	41.3837069026	17.4385482852	44.5169523458	2346955	`Asir	SA	2346955
18.3224478215	41.5936682473	16.3715591495	43.3417785991	2346956	Jizan	SA	2346956
29.082	38.715	25.356	42.916	2346957	Ha'il	SA	2346957
27.496	36.635	22.571	41.709	2346958	Al Madinah	SA	2346958
23.967322903	38.6734847351	18.1213489853	43.6675468281	2346959	Makka	SA	2346959
19.898	43.553	16.95	47.544	2346960	Najran	SA	2346960
32.1217088894	37.8615963072	27.4581950956	46.4277917825	2346961	Al Hudud ash Shamaliyah	SA	2346961
29.976	34.496	24.577	39.656	2346962	Tabuk	SA	2346962
