top	left	bottom	right	slug	name	iso	woeid
-4.866	46.199	-10.217	56.279	24549866	Outer Islands	SC	24549866
-4.749	55.482	-4.805	55.535	24549867	Takamaka	SC	24549867
-4.73	55.464	-4.762	55.515	24549868	Baie Lazare	SC	24549868
-4.699	55.481	-4.738	55.504	24549869	Anse Boileau	SC	24549869
-4.71	55.501	-4.749	55.524	24549870	Anse Royale	SC	24549870
-4.65	55.489	-4.71	55.517	24549871	Cascade	SC	24549871
-4.691	55.504	-4.724	55.524	24549872	Au Cap	SC	24549872
-4.666	55.507	-4.691	55.534	24549873	Pointe Larue	SC	24549873
-4.682	55.507	-4.699	55.523	24549874	Anse aux Pins	SC	24549874
-4.666	55.433	-4.711	55.491	24549875	Grand Anse Mahe	SC	24549875
-4.634	55.361	-4.68	55.489	24549876	Port Glaud	SC	24549876
-4.585	55.426	-4.618	55.446	24549877	Beau Vallon	SC	24549877
-4.483	55.429	-4.588	55.534	24549878	Glacis	SC	24549878
-4.628	55.459	-4.666	55.506	24549879	Roche Caiman	SC	24549879
-4.6	55.494	-4.62	55.517	24549880	Les Mamelles	SC	24549880
-4.639	55.433	-4.658	55.468	24549881	Plaisance	SC	24549881
-4.623	55.445	-4.642	55.468	24549882	Mont Fleuri	SC	24549882
-4.625	55.429	-4.644	55.452	24549883	Bel Air	SC	24549883
-4.577	55.44	-4.605	55.462	24549884	Anse Etoile	SC	24549884
-4.604	55.44	-4.628	55.46	24549885	English River	SC	24549885
-4.616	55.43	-4.63	55.443	24549886	Saint Louis	SC	24549886
-4.603	55.434	-4.618	55.448	24549887	Mont Buxton	SC	24549887
-3.712	55.207	-4.376	55.917	24549888	Baie Ste. Anne	SC	24549888
-4.289	55.641	-4.6	55.951	24549889	Grand Anse Praslin	SC	24549889
-4.379	55.205	-4.638	55.434	24549890	Belombre	SC	24549890
