top	left	bottom	right	slug	name	iso	woeid
16.739	31.578	15.188	34.335	20069819	Al Khartum	SD	20069819
13.0994332949	22.8606514825	8.68192515732	27.8947628108	20069893	Janub Darfur	SD	20069893
15.7493490663	21.8090360854	11.2376864692	24.616409946	20069894	Gharb Darfur	SD	20069894
20.0085206165	23.4893986342	11.8272887232	27.5226408219	20069895	Shamal Darfur	SD	20069895
7.636	28.461	5.72	31.761	20069896	Al Buhayrat	SD	20069896
10.221	25.862	7.738	28.908	20069897	Shamal Bahr al Ghazal	SD	20069897
9.042	27.518	6.492	29.916	20069898	Warab	SD	20069898
10.437	24.152	6.478	28.467	20069899	Gharb Bahr al Ghazal	SD	20069899
6.562	26.287	4.272	30.871	20069900	Gharb al Istiwa´iyah	SD	20069900
5.617	31.826	3.515	35.948	20069901	Sharq al Istiwa´iyah	SD	20069901
6.187	29.793	3.486	32.335	20069902	Bahr al Jabal	SD	20069902
22.006	31.817	15.985	35.338	20069903	Nahr an Nil	SD	20069903
23.147	33.255	16.943	38.834	20069904	Al Bahr al Ahmar	SD	20069904
17.186	34.233	14.603	37.03	20069905	Kassala	SD	20069905
15.836	33.609	12.664	36.561	20069906	Al Qadarif	SD	20069906
10.263	28.763	7.085	30.932	20069907	Al Wahdah	SD	20069907
12.216	30.86	7.873	34.144	20069908	A`ali an Nil	SD	20069908
9.518	30.194	5.506	35.159	20069909	Junqali	SD	20069909
12.677	28.956	9.66	32.443	20069910	Janub Kurdufan	SD	20069910
14.416	27.043	9.348	29.957	20069911	Gharb Kurdufan	SD	20069911
16.673	27.049	12.213	32.321	20069912	Shamal Kurdufan	SD	20069912
12.703	33.209	9.579	35.154	20069913	An Nil al Azraq	SD	20069913
15.209	31.543	11.969	33.259	20069914	An Nil al Abyad	SD	20069914
14.0	32.803	11.849	35.708	20069915	Sinnar	SD	20069915
15.508	32.36	13.48	34.165	20069916	Al Jazirah	SD	20069916
22.225	25.0	16.499	32.687	20069999	Ash Shamaliyah	SD	20069999
