top	left	bottom	right	slug	name	iso	woeid
56.533	12.446	55.337	14.586	20070561	Skåne Län	SE	20070561
59.263	10.982	57.146	14.779	20070562	Västra Götalands Län	SE	20070562
56.51024608	14.4105729508	56.0024217804	16.0664925469	2347045	Blekinge Län	SE	2347045
62.343	14.448	60.189	17.641	2347046	Gävleborgs Län	SE	2347046
58.3950405953	18.0995467461	56.9120820173	19.3386959168	2347048	Gotlands Län	SE	2347048
57.6164317902	11.9034391619	56.3380085315	13.6980066263	2347049	Hallands Län	SE	2347049
65.119	11.975	61.564	16.999	2347050	Jämtlands Län	SE	2347050
58.187	13.077	56.879	15.666	2347051	Jönköpings Län	SE	2347051
58.141	15.337	56.194	17.151	2347052	Kalmar Län	SE	2347052
62.2743903673	12.1613562351	59.8832184923	16.719372593	2347053	Dalarnas Län	SE	2347053
57.2419326845	13.3082112973	56.3782644723	15.8464026218	2347055	Kronobergs Län	SE	2347055
69.0367682969	15.4258598165	65.0677082379	24.1633109883	2347057	Norrbottens Län	SE	2347057
60.11	14.286	58.646	15.798	2347058	Örebro Län	SE	2347058
59.02	14.417	57.7	17.043	2347059	Östergötlands Län	SE	2347059
59.531	15.617	58.607	17.708	2347061	Södermanlands Län	SE	2347061
60.661	16.727	59.384	18.734	2347062	Uppsala Län	SE	2347062
61.056	11.691	58.724	14.476	2347063	Värmlands Län	SE	2347063
66.345	14.326	63.407	21.615	2347064	Västerbottens Län	SE	2347064
64.028	14.781	62.137	19.286	2347065	Västernorrlands Län	SE	2347065
60.303	15.422	59.198	17.375	2347066	Västmanlands Län	SE	2347066
60.255	17.245	58.737	19.509	2347067	Stockholms Län	SE	2347067
