top	left	bottom	right	slug	name	iso	woeid
46.001	13.733	45.761	14.13	55848341	Ajdovscina	SI	55848341
46.055	15.491	45.82	15.733	55848342	Brezice	SI	55848342
46.39	15.187	46.163	15.379	55848343	Celje	SI	55848343
45.894	14.252	45.58	14.579	55848344	Cerknica	SI	55848344
45.708	15.027	45.421	15.386	55848345	Crnomelj	SI	55848345
46.208	14.513	46.094	14.903	55848346	Domzale	SI	55848346
46.6497885203	14.9193274272	46.5380899118	15.1257747736	55848347	Dravograd	SI	55848347
46.7247451845	15.7843392266	46.5859681259	16.0417395359	55848348	Gornja Radgona	SI	55848348
46.0085356714	14.7148437838	45.7960163436	14.9272855973	55848349	Grosuplje	SI	55848349
46.184	15.058	46.086	15.189	55848350	Hrastnik	SI	55848350
46.193	13.855	45.879	14.146	55848351	Idrija	SI	55848351
45.685	14.091	45.469	14.502	55848352	Ilirska Bistrica	SI	55848352
45.548	13.615	45.473	13.694	55848353	Izola	SI	55848353
46.5200031605	13.685552606	46.381226101	14.0149381852	55848354	Jesenice	SI	55848354
46.368	14.501	46.172	14.928	55848355	Kamnik	SI	55848355
45.776	14.685	45.459	15.112	55848356	Kocevje	SI	55848356
45.61	13.67	45.425	14.002	55848357	Koper	SI	55848357
46.4189757347	14.4054569838	46.3505044622	14.5687028335	55848358	Kranj	SI	55848358
46.072	15.334	45.791	15.57	55848359	Krsko	SI	55848359
46.201	15.066	46.025	15.376	55848360	Lasko	SI	55848360
46.6997596295	15.7925041031	46.6073363307	15.8885705906	55848361	Lenart	SI	55848361
46.704	16.238	46.471	16.597	55848362	Lendava	SI	55848362
46.136	14.712	45.963	15.1	55848363	Litija	SI	55848363
46.11762462	14.5942826677	46.0768777536	14.7539628431	55848364	Ljubljana	SI	55848364
46.608	16.012	46.466	16.315	55848365	Ljutomer	SI	55848365
46.038	14.098	45.847	14.302	55848366	Logatec	SI	55848366
46.4832095403	15.5458008159	46.4086146104	15.7344714702	55848367	Maribor	SI	55848367
45.727	15.206	45.571	15.407	55848368	Metlika	SI	55848368
46.3433731145	14.703991733	46.2528618436	14.8770044288	55848369	Mozirje	SI	55848369
46.7800389672	16.1756331723	46.6451376413	16.3654407082	55848370	Murska Sobota	SI	55848370
45.9125983751	13.565404901	45.8189865179	13.7091687354	55848371	Nova Gorica	SI	55848371
45.961	14.799	45.636	15.405	55848372	Novo Mesto	SI	55848372
46.51	16.007	46.376	16.308	55848373	Ormoz	SI	55848373
46.678701484	15.5198592464	46.5940813256	15.6643465513	55848374	Pesnica	SI	55848374
45.54	13.563	45.446	13.712	55848375	Piran	SI	55848375
45.879	14.042	45.621	14.437	55848376	Postojna	SI	55848376
46.5464098171	15.8544641455	46.4998493517	15.9342008809	55848377	Ptuj	SI	55848377
46.5725839296	15.1887683448	46.4924596215	15.32281701	55848378	Radlje Ob Dravi	SI	55848378
46.3821821154	13.7273588395	46.2299950221	14.1801477397	55848379	Radovljica	SI	55848379
46.613	14.675	46.417	15.015	55848380	Ravne Na Koroskem	SI	55848380
45.821	14.537	45.581	14.819	55848381	Ribnica	SI	55848381
46.5887328155	15.3121199888	46.468843492	15.4617232598	55848382	Ruse	SI	55848382
46.312	15.33	46.066	15.536	55848383	Sentjur Pri Celju	SI	55848383
46.089	15.088	45.928	15.424	55848384	Sevnica	SI	55848384
45.6437775743	13.8676603533	45.4732195097	14.1182393732	55848385	Sezana	SI	55848385
46.283	13.986	46.003	14.395	55848386	Skofja Loka	SI	55848386
46.566	14.953	46.387	15.328	55848387	Slovenj Gradec	SI	55848387
46.4992809109	15.3350643248	46.2736616076	15.7214490091	55848388	Slovenska Bistrica	SI	55848388
46.3712525503	15.364416538	46.2766330027	15.557893101	55848389	Slovenske Konjice	SI	55848389
46.606251126	15.9685140315	46.5112956817	16.0903153828	55848390	Smarje Pri Jelsah	SI	55848390
46.446	13.375	46.005	14.009	55848391	Tolmin	SI	55848391
46.197	14.98	46.077	15.109	55848392	Trbovlje	SI	55848392
46.022	14.86	45.838	15.23	55848393	Trebnje	SI	55848393
46.447	14.233	46.314	14.442	55848394	Trzic	SI	55848394
46.456	14.882	46.305	15.206	55848395	Velenje	SI	55848395
46.031	14.189	45.857	14.421	55848396	Vrhnika	SI	55848396
46.1833828798	15.0650549655	46.0859728052	15.1884582864	55848397	Zagorje Ob Savi	SI	55848397
46.35	14.884	46.182	15.225	55848398	Zalec	SI	55848398
