top	left	bottom	right	slug	name	iso	woeid
14.901	-17.535	14.588	-17.118	2346988	Dakar	SN	2346988
15.027	-16.702	14.51	-15.677	2346989	Diourbel	SN	2346989
16.692	-16.535	15.587	-13.698	2346990	St.-Louis	SN	2346990
15.1	-14.849	12.628	-11.856	2346991	Tambacounda	SN	2346991
15.5	-17.157	14.085	-16.168	2346992	Thiès	SN	2346992
16.17	-16.745	14.549	-14.321	2346993	Louga	SN	2346993
14.87	-16.796	13.587	-15.425	2346994	Fatick	SN	2346994
14.362	-16.375	13.585	-15.41	2346995	Kaolack	SN	2346995
13.589	-15.355	12.669	-13.458	2346996	Kolda	SN	2346996
13.164	-16.798	12.328	-15.901	2346997	Ziguinchor	SN	2346997
14.814	-15.855	13.737	-14.586	56055612	Kaffrine	SN	56055612
13.413	-13.224	12.307	-11.356	56055613	Kédougou	SN	56055613
13.387	-16.027	12.424	-15.102	56055614	Sédhiou	SN	56055614
16.6916946476	-16.5413879051	14.394263821	-12.5704674951	56055615	Matam	SN	56055615
