top	left	bottom	right	slug	name	iso	woeid
14.062	-90.129	13.66	-89.691	2345292	Ahuachapán	SV	2345292
14.019	-88.988	13.737	-88.49	2345293	Cabañas	SV	2345293
14.389	-89.427	13.928	-88.681	2345294	Chalatenango	SV	2345294
14.059	-89.168	13.655	-88.859	2345295	Cuscatlán	SV	2345295
14.061	-89.624	13.413	-89.132	2345296	La Libertad	SV	2345296
13.6729383408	-89.1443723212	13.2661931421	-88.7813195465	2345297	La Paz	SV	2345297
13.899	-88.094	13.149	-87.683	2345298	La Unión	SV	2345298
14.056	-88.272	13.539	-87.931	2345299	Morazán	SV	2345299
13.903	-88.527	13.165	-88.019	2345300	San Miguel	SV	2345300
14.058	-89.289	13.474	-89.016	2345301	San Salvador	SV	2345301
14.445	-89.743	13.771	-89.248	2345302	Santa Ana	SV	2345302
13.793	-88.894	13.261	-88.485	2345303	San Vicente	SV	2345303
13.905	-89.955	13.514	-89.439	2345304	Sonsonate	SV	2345304
13.691	-88.829	13.152	-88.12	2345305	Usulután	SV	2345305
