top	left	bottom	right	slug	name	iso	woeid
37.319	39.725	35.489	42.385	2347069	Al H'asakah	SY	2347069
35.941	35.727	35.171	36.295	2347070	Al Ladhiqiyah	SY	2347070
33.445	35.804	32.729	36.045	2347071	Al Qunaytirah	SY	2347071
36.747	38.03	34.649	40.112	2347072	Ar Raqqah	SY	2347072
33.22	36.358	32.311	37.218	2347073	As Suwayda'	SY	2347073
33.266	35.875	32.353	36.581	2347074	Dar'a	SY	2347074
36.216	39.2	34.055	41.285	2347075	Dayr az Zawr	SY	2347075
34.218	35.868	32.532	38.35	2347076	Rif Dimashq	SY	2347076
36.913	36.553	35.614	38.729	2347077	H'alab	SY	2347077
35.673	36.162	34.863	38.047	2347078	H'amah	SY	2347078
35.614	36.12	33.135	40.215	2347079	H'ims	SY	2347079
36.355	36.136	35.326	37.534	2347080	Idlib	SY	2347080
33.591	36.126	33.372	36.433	2347081	Dimashq	SY	2347081
35.203	35.849	34.636	36.301	2347082	Tartus	SY	2347082
