top	left	bottom	right	slug	name	iso	woeid
16.1819583192	16.9395658709	12.0870144715	20.3047868179	2344945	Batha	TD	2344945
15.996	20.045	13.96	23.004	2344946	Wadi Fira	TD	2344946
12.399	15.025	9.821	17.659	2344948	Chari-Baguirmi	TD	2344948
13.046	17.527	9.911	20.232	2344949	Guéra	TD	2344949
16.905066637	13.6073144874	13.0475759953	17.9928865902	2344950	Kanem	TD	2344950
14.5184422874	13.4488745463	12.9998269715	15.8999394062	2344951	Lac	TD	2344951
9.2387128766	15.2640092298	8.25763580964	16.5971061536	2344952	Logone Occidental	TD	2344952
9.14042430284	15.2105757991	7.45577261022	17.2494694349	2344953	Logone Oriental	TD	2344953
10.634	17.389	8.021	19.872	2344955	Moyen-Chari	TD	2344955
14.453	19.83	10.931	22.986	2344956	Ouaddaï	TD	2344956
12.1589480656	18.8463228693	9.06363312417	22.3645577329	2344957	Salamat	TD	2344957
10.258	15.448	8.986	17.616	2344958	Tandjilé	TD	2344958
13.4051252303	14.4808528984	9.77480418556	17.6255705092	56013481	Hadjer-Lamis	TD	56013481
10.6184736195	17.033461948	7.81120311083	19.9319930355	56013482	Mandoul	TD	56013482
11.1860358752	13.9455884136	8.4217601585	16.2462748552	56013483	Mayo-Kebbi Est	TD	56013483
10.01	14.019	8.444	15.469	56013484	Mayo-Kebbi Ouest	TD	56013484
12.302	14.891	11.841	15.228	56013485	Ville de N'Djamena	TD	56013485
