top	left	bottom	right	slug	name	iso	woeid
14.197	101.861	13.237	102.941	20069925	Sa Kaeo	TH	20069925
14.462	101.138	13.585	102.107	20069926	Prachin Buri	TH	20069926
19.814	97.344	17.637	98.652	2347128	Mae Hong Son	TH	2347128
20.147	98.009	17.272	99.573	2347129	Chiang Mai	TH	2347129
20.465	99.258	19.002	100.578	2347130	Chiang Rai	TH	2347130
19.635	100.336	18.013	101.356	2347131	Nan	TH	2347131
18.71	98.67	17.423	99.321	2347132	Lamphun	TH	2347132
19.418	98.88	17.207	100.125	2347133	Lampang	TH	2347133
18.8308405627	99.3106103863	17.6765699329	100.541904739	2347134	Phrae	TH	2347134
17.869	97.742	15.181	99.49	2347135	Tak	TH	2347135
17.821	99.31	16.713	100.112	2347136	Sukhothai	TH	2347136
18.382	99.896	17.165	101.192	2347137	Uttaradit	TH	2347137
16.91	98.985	15.857	100.045	2347138	Kamphaeng Phet	TH	2347138
17.745	99.856	16.338	101.109	2347139	Phitsanulok	TH	2347139
16.648	99.983	15.912	100.77	2347140	Phichit	TH	2347140
17.178	100.635	15.304	101.796	2347141	Phetchabun	TH	2347141
15.798	98.983	14.938	100.107	2347142	Uthai Thani	TH	2347142
16.191	99.088	15.052	100.834	2347143	Nakhon Sawan	TH	2347143
18.449	102.054	17.591	104.148	2347144	Nong Khai	TH	2347144
18.221	100.833	16.754	102.153	2347145	Loei	TH	2347145
18.089	103.25	16.772	104.435	2347146	Sakon Nakhon	TH	2347146
17.088	101.749	15.632	103.184	2347147	Khon Kaen	TH	2347147
17.102	103.096	16.182	104.239	2347148	Kalasin	TH	2347148
16.644	102.842	15.407	103.503	2347149	Maha Sarakham	TH	2347149
16.473	103.273	15.405	104.35	2347150	Roi Et	TH	2347150
16.731	101.316	15.311	102.458	2347151	Chaiyaphum	TH	2347151
15.808	101.182	14.12	103.012	2347152	Nakhon Ratchasima	TH	2347152
15.796	102.431	14.131	103.504	2347153	Buriram	TH	2347153
15.483	103.089	14.327	104.091	2347154	Surin	TH	2347154
15.568	103.901	14.342	104.908	2347155	Sisaket	TH	2347155
6.635	101.371	5.733	102.092	2347156	Narathiwat	TH	2347156
15.418	99.716	14.902	100.353	2347157	Chai Nat	TH	2347157
15.12	100.181	14.715	100.488	2347158	Sing Buri	TH	2347158
15.582	100.42	14.656	101.4	2347159	Lop Buri	TH	2347159
14.802	100.181	14.439	100.516	2347160	Ang Thong	TH	2347160
14.671	100.242	14.111	100.824	2347161	Phra Nakhon Si Ayutthaya	TH	2347161
15.074	100.575	14.243	101.454	2347162	Sara Buri	TH	2347162
14.141	100.265	13.789	100.568	2347163	Nonthaburi	TH	2347163
14.276	100.332	13.916	100.952	2347164	Pathum Thani	TH	2347164
13.949794827	100.326982457	13.4894094911	100.924258661	2347165	Bangkok	TH	2347165
19.736	99.683	18.807	100.651	2347166	Phayao	TH	2347166
13.717	100.444	13.478	100.962	2347167	Samut Prakan	TH	2347167
14.513	100.914	13.963	101.505	2347168	Nakhon Nayok	TH	2347168
13.977	100.849	13.179	101.99	2347169	Chachoengsao	TH	2347169
13.589	100.765	12.595	101.719	2347170	Chon Buri	TH	2347170
13.164	100.985	12.513	101.831	2347171	Rayong	TH	2347171
13.336	101.685	12.295	102.536	2347172	Chanthaburi	TH	2347172
12.757	102.245	11.562	102.915	2347173	Trat	TH	2347173
15.661	98.183	13.726	99.886	2347174	Kanchanaburi	TH	2347174
15.083	99.282	14.059	100.281	2347175	Suphan Buri	TH	2347175
13.944	99.163	13.149	100.069	2347176	Ratchaburi	TH	2347176
14.212	99.83	13.648	100.337	2347177	Nathon Pathon	TH	2347177
13.515	99.852	13.246	100.079	2347178	Samut Songkhran	TH	2347178
13.736	100.027	13.425	100.42	2347179	Samut Sakhon	TH	2347179
13.345	99.099	12.541	100.106	2347180	Phetchaburi	TH	2347180
12.639	99.147	10.956	100.02	2347181	Prachuap Khiri Khan	TH	2347181
11.034	98.627	9.601	99.539	2347182	Chumphon	TH	2347182
10.7883340521	98.3852405131	9.3064348412	98.9757471047	2347183	Ranong	TH	2347183
10.127	98.443	8.3	100.091	2347184	Surat Thani	TH	2347184
9.495	97.62	7.745	98.707	2347185	Phangnga	TH	2347185
8.201	98.258	7.479	98.483	2347186	Phuket	TH	2347186
8.675	98.615	7.149	99.416	2347187	Krabi	TH	2347187
9.328	99.234	7.838	100.337	2347188	Nakhon Si Thammarat	TH	2347188
8.013	99.233	6.973	100.028	2347189	Trang	TH	2347189
7.893	99.732	7.09	100.428	2347190	Phatthalung	TH	2347190
7.132	99.153	6.423	100.221	2347191	Satun	TH	2347191
7.939	100.055	6.289	101.108	2347192	Songkhla	TH	2347192
6.953	101.018	6.55	101.725	2347193	Pattani	TH	2347193
6.683	100.835	5.613	101.609	2347194	Yala	TH	2347194
16.349	103.996	15.289	104.822	2347195	Yasothon	TH	2347195
18.07	103.982	16.787	104.805	2347196	Nakhon Phanom	TH	2347196
16.921	104.07	16.186	104.979	2347197	Mukdahan	TH	2347197
16.098	104.372	14.213	105.637	2347199	Ubon Ratchathani	TH	2347199
18.086	102.016	16.802	103.666	2347200	Udon Thani	TH	2347200
16.283	104.418	15.537	105.06	2347201	Amnat Charoen	TH	2347201
17.675	101.989	16.761	102.682	2347202	Nong Bua Lam Phu	TH	2347202
