top	left	bottom	right	slug	name	iso	woeid
-8.993	124.978	-9.46	125.56	24549894	Cova Lima	TL	24549894
-8.631	125.195	-8.993	125.544	24549895	Ermera	TL	24549895
-8.751	124.934	-9.225	125.443	24549896	Bobonaro	TL	24549896
-8.55	125.093	-8.758	125.537	24549897	Liquica	TL	24549897
-8.137	125.504	-8.619	125.846	24549898	Dili	TL	24549898
-8.556	125.471	-8.845	125.827	24549899	Aileu	TL	24549899
-8.715	125.443	-9.218	125.844	24549900	Ainaro	TL	24549900
-8.868	125.549	-9.196	126.073	24549901	Manufahi	TL	24549901
-8.482	125.777	-9.062	126.228	24549902	Manatuto	TL	24549902
-8.644	126.067	-8.992	126.745	24549903	Viqueque	TL	24549903
-8.328	126.703	-8.762	127.345	24549904	Lautem	TL	24549904
-8.42	126.192	-8.703	126.823	24549905	Baucau	TL	24549905
-9.175	124.075	-9.513	124.501	24549906	Oecussi-Ambeno	TL	24549906
