top	left	bottom	right	slug	name	iso	woeid
35.797	8.255	34.618	9.365	2347235	Al Qasrayn	TN	2347235
36.15	9.415	34.919	10.337	2347236	Al Qayrawan	TN	2347236
37.013	8.155	36.302	9.103	2347237	Jundubah	TN	2347237
34.789	8.076	34.0	9.632	2347238	Qafash	TN	2347238
36.384	8.256	35.587	9.206	2347239	Al Kaf	TN	2347239
35.561	10.235	35.032	11.161	2347240	Al Mahdiyah	TN	2347240
35.818	10.54	35.486	11.051	2347241	Al Munastir	TN	2347241
37.141	8.887	36.347	9.903	2347242	Bajah	TN	2347242
37.567	8.866	36.7	10.334	2347243	Banzart	TN	2347243
37.144	10.348	36.285	11.136	2347244	Nabul	TN	2347244
36.431	8.952	35.485	9.855	2347245	Silyanah	TN	2347245
36.327	10.187	35.411	10.655	2347246	Susah	TN	2347246
37.118	9.555	36.533	10.357	2347247	Aryanah	TN	2347247
36.715	10.085	36.43	10.412	2347248	Bin 'Arus	TN	2347248
33.904	9.801	32.258	11.598	2347249	Madanin	TN	2347249
34.254	9.255	33.307	10.443	2347250	Qabis	TN	2347250
34.16	7.738	32.516	10.188	2347251	Qibili	TN	2347251
35.241	9.593	34.172	11.342	2347252	Safaqis	TN	2347252
35.499	8.838	34.254	10.237	2347253	Sidi Bu Zayd	TN	2347253
33.276	8.354	30.24	11.441	2347254	Tatawin	TN	2347254
34.517	7.525	33.428	8.77	2347255	Tawzar	TN	2347255
36.878	9.995	36.643	10.436	2347256	Tunis	TN	2347256
36.592	9.706	35.995	10.407	2347257	Zaghwan	TN	2347257
