top	left	bottom	right	slug	name	iso	woeid
40.742	28.524	40.459	29.556	20070182	Yalova	TR	20070182
40.178	43.255	39.614	44.826	20070183	Iğdır	TR	20070183
37.719	35.88	36.909	36.699	20070184	Osmaniye	TR	20070184
41.586	31.297	41.008	32.327	20070185	Zonguldak	TR	20070185
41.587	32.102	40.814	33.157	20070186	Karabük	TR	20070186
41.855	32.047	41.285	32.896	20070187	Bartın	TR	20070187
41.602	42.338	40.663	43.48	20070284	Ardahan	TR	20070284
37.045	36.691	36.631	37.587	20070285	Kilis	TR	20070285
38.4747061228	34.7898458184	36.5410515405	36.7212007992	2347258	Adana	TR	2347258
38.2284420842	37.4217265154	37.4118769398	39.2563432151	2347259	Adıyaman	TR	2347259
39.2819436717	29.6640605002	37.7593492704	31.7235730328	2347260	Afyonkarahisar	TR	2347260
39.9893423532	42.2715596859	39.0024258488	44.4577828304	2347261	Ağrı	TR	2347261
41.0869239364	35.0314848164	40.1886325143	36.4938244976	2347262	Amasya	TR	2347262
40.7075930855	30.8635738459	38.6435847035	33.9373913913	2347263	Ankara	TR	2347263
37.4278449567	29.2611910332	36.0939212106	32.6516817561	2347264	Antalya	TR	2347264
41.5142105167	41.1274434748	40.5555610217	42.5387268413	2347265	Artvin	TR	2347265
38.1062014833	27.0115092305	37.3361451283	28.9030733574	2347266	Aydın	TR	2347266
40.663409736	26.6092598811	39.0501748726	28.9671521343	2347267	Balıkesir	TR	2347267
40.5335468609	29.6616833843	39.6076085479	30.7386202331	2347268	Bilecik	TR	2347268
39.536	39.903	38.462	41.307	2347269	Bingöl	TR	2347269
39.1040733913	41.5312431169	37.9441958688	43.1612211444	2347270	Bitlis	TR	2347270
41.1507184924	30.5949597515	40.1427955184	32.5295186705	2347271	Bolu	TR	2347271
37.8461398382	29.3903821147	36.9143104109	30.934990676	2347272	Burdur	TR	2347272
40.6146788602	28.098884719	39.5515654564	29.9408394711	2347273	Bursa	TR	2347273
40.737	25.664	39.454	27.528	2347274	Çanakkale	TR	2347274
41.074	32.564	40.266	34.181	2347275	Çankırı	TR	2347275
41.333	33.894	39.91	35.52	2347276	Çorum	TR	2347276
38.4501598173	28.5628357274	36.9115973982	30.040885044	2347277	Denizli	TR	2347277
38.739186103	39.1148531429	37.3757034372	41.4263399593	2347278	Diyarbakır	TR	2347278
41.9836392283	26.0332743674	40.5985041369	26.9061926609	2347279	Edirne	TR	2347279
39.229440416	38.3489050636	38.3260330269	40.3915710792	2347280	Elazığ	TR	2347280
40.0726964379	38.3441508318	39.0229672304	40.6800289241	2347281	Erzincan	TR	2347281
40.924918321	40.2422261898	39.1687981223	42.5637382338	2347282	Erzurum	TR	2347282
40.1678069119	30.1360730323	39.0863483752	32.042726678	2347283	Eskişehir	TR	2347283
37.5367013613	36.4518632344	36.6201423207	38.0406034683	2347284	Gaziantep	TR	2347284
41.0724286969	38.0627209819	40.0525426299	39.1483394712	2347285	Giresun	TR	2347285
37.0200145532	35.7873043152	35.8199586043	36.6695243668	2347286	Hatay	TR	2347286
37.4013866233	32.571789992	36.0271035836	35.081714308	2347287	Mersin	TR	2347287
38.5151946067	30.0152535338	37.3513896757	31.6207369319	2347288	Isparta	TR	2347288
41.5401004093	28.1493209161	40.5543466249	29.8773808119	2347289	İstanbul	TR	2347289
39.4644906686	26.233055454	37.888075263	28.5623189634	2347290	İzmir	TR	2347290
41.5884437123	42.150430129	39.6279690614	44.8063920426	2347291	Kars	TR	2347291
42.0205878772	32.6833077325	40.8607620307	34.5878943215	2347292	Kastamonu	TR	2347292
39.3344469264	34.9150061376	37.9308375109	36.9362781109	2347293	Kayseri	TR	2347293
42.0981025254	26.7802055194	41.2645616728	28.2029610533	2347294	Kırklareli	TR	2347294
39.8257347682	33.5244966977	38.8531326362	34.7371358581	2347295	Kırşehir	TR	2347295
41.2154690618	29.2536462744	40.5497732611	30.4879895364	2347296	Kocaeli	TR	2347296
39.867	28.651	38.767	30.43	2347297	Kütahya	TR	2347297
39.1502721215	37.2258728374	37.8204824896	39.1485461768	2347298	Malatya	TR	2347298
39.4113414578	27.2284468933	38.1038243674	29.0362952004	2347299	Manisa	TR	2347299
38.6250328642	36.2202494649	37.2332831899	37.7823246599	2347300	Kahramanmaraş	TR	2347300
37.5774482286	27.2287569517	36.293573106	29.6888651872	2347301	Muğla	TR	2347301
39.4913882516	41.1643404479	38.5345991077	42.6424931173	2347302	Muş	TR	2347302
39.4044426541	34.2062121921	38.348408922	35.0754097834	2347303	Nevşehir	TR	2347303
41.1477729357	36.6875077653	40.3318795839	38.1583223814	2347304	Ordu	TR	2347304
41.3012002634	40.3522969903	40.5421251495	41.3858256369	2347305	Rize	TR	2347305
41.1705364035	29.9261633644	40.3314920111	30.9616557149	2347306	Sakarya	TR	2347306
41.7362124697	34.8880310403	40.8473778344	37.1515621274	2347307	Samsun	TR	2347307
42.0986709662	34.1403764179	41.2016197784	35.5048409357	2347308	Sinop	TR	2347308
40.5235474717	35.8198604676	38.5880842152	38.7615930517	2347309	Sivas	TR	2347309
41.4921963568	26.716333449	40.5609870471	28.1930391785	2347310	Tekirdağ	TR	2347310
40.9100613473	35.509801874	39.9237132836	37.6349434752	2347311	Tokat	TR	2347311
41.1124262563	39.1174369643	40.5104216578	40.4894462419	2347312	Trabzon	TR	2347312
39.5843541527	38.7167379086	38.7632673204	40.5547652521	2347313	Tunceli	TR	2347313
38.0430528834	37.8406156752	36.6596747912	40.2609330587	2347314	Şanlıurfa	TR	2347314
38.8850945093	28.8384778176	38.2121640081	29.8887496275	2347315	Uşak	TR	2347315
39.4098686795	42.6780465022	37.727258206	44.4587130064	2347316	Van	TR	2347316
40.2340302597	34.0525264829	39.013303738	36.2130147644	2347317	Yozgat	TR	2347317
40.832	38.779	39.8	40.142	2347319	Gümüşhane	TR	2347319
37.9129833036	43.3596586448	36.9693199736	44.8011210468	2347320	Hakkâri	TR	2347320
39.2221023627	31.2543510268	36.6733948834	34.5122400244	2347321	Konya	TR	2347321
37.7657313093	39.9999670751	36.9229920513	41.9049670753	2347322	Mardin	TR	2347322
38.4042194687	34.1598067564	37.351983954	35.2588611179	2347323	Niğde	TR	2347323
38.227150173	41.4131107926	37.6259723987	43.0293428896	2347324	Siirt	TR	2347324
39.0010822616	33.2646675965	37.9317935245	34.4898124533	2347325	Aksaray	TR	2347325
38.5543911813	41.0354594256	37.5185112572	41.8169104347	2347326	Batman	TR	2347326
40.6118108179	39.8114514504	40.0148188337	40.7998148947	2347327	Bayburt	TR	2347327
37.6470305442	32.4562414893	36.4316266951	34.1489547056	2347328	Karaman	TR	2347328
40.372	33.235	39.392	34.156	2347329	Kırıkkale	TR	2347329
37.7660930445	41.6818282407	37.1102157657	43.4092680197	2347330	Şırnak	TR	2347330
41.117	30.818	40.615	31.76	29390030	Düzce	TR	29390030
