top	left	bottom	right	slug	name	iso	woeid
25.2058519561	121.462178176	24.9706208355	121.655241327	20070333	台北市	TW	20070333
22.756	120.25	22.506	120.399	20070334	高雄市	TW	20070334
25.211	121.457	24.961	121.666	20070568	台北市	TW	20070568
25.3	121.283	24.673	122.008	20070569	新北市	TW	20070569
22.756	120.25	22.506	120.399	20070570	高雄市	TW	20070570
24.196	120.239	23.786	120.684	20070572	彰化縣	TW	20070572
25.195	121.627	25.052	121.808	22695855	基隆市	TW	22695855
23.798	119.314	23.187	119.728	22695856	澎湖縣	TW	22695856
24.946	120.932	24.428	121.412	2347334	新竹縣	TW	2347334
24.371	120.987	23.098	121.774	2347335	花蓮縣	TW	2347335
24.988	121.317	24.31	121.966	2347336	宜蘭縣	TW	2347336
24.741	120.625	24.288	121.263	2347338	苗栗縣	TW	2347338
24.246	120.616	23.435	121.349	2347339	南投縣	TW	2347339
22.886	120.353	21.897	120.904	2347340	屏東縣	TW	2347340
23.444	120.739	21.944	121.615	2347344	台東縣	TW	2347344
25.123	120.985	24.586	121.48	2347345	桃園縣	TW	2347345
23.844	119.998	23.436	120.736	2347346	雲林縣	TW	2347346
23.089	120.063	22.913	120.249	28751581	台南市	TW	28751581
24.854	120.878	24.713	121.033	28751582	新竹市	TW	28751582
23.516	120.389	23.44	120.509	28751583	嘉義市	TW	28751583
24.219	120.574	24.104	120.803	28751584	台中市	TW	28751584
26.392	119.913	25.933	121.017	28760734	連江縣	TW	28760734
24.992	118.214	24.383	119.484	28760735	金門縣	TW	28760735
23.636	120.118	23.217	120.958	7153409	嘉義縣	TW	7153409
