top	left	bottom	right	slug	name	iso	woeid
-1.70702727649	34.7494348488	-4.12945414759	37.4235868673	2347352	Arusha	TZ	2347352
-5.85240732224	37.8012382344	-8.49679371546	39.9109802585	2347353	Pwani	TZ	2347353
-4.139	35.086	-7.366	36.891	2347354	Dodoma	TZ	2347354
-6.869	33.733	-10.528	36.986	2347355	Iringa	TZ	2347355
-2.872	29.327	-6.754	31.435	2347356	Kigoma	TZ	2347356
-2.85517424899	36.8861519712	-4.63857960337	38.4160844259	2347357	Kilimanjaro	TZ	2347357
-7.948	36.861	-10.775	40.117	2347358	Lindi	TZ	2347358
-1.00200571089	32.7038749534	-2.49132048945	35.3414400572	2347359	Mara	TZ	2347359
-6.896	31.99	-9.712	35.062	2347360	Mbeya	TZ	2347360
-5.79	35.313	-9.995	38.518	2347361	Morogoro	TZ	2347361
-10.172	37.951	-11.417	40.443	2347362	Mtwara	TZ	2347362
-1.502	31.733	-3.449	34.13	2347363	Mwanza	TZ	2347363
-4.89039885852	39.6758524916	-5.20164600966	39.8782174006	2347364	Pemba North	TZ	2347364
-9.18874114309	34.5796260922	-11.7312216123	38.0933134295	2347365	Ruvuma	TZ	2347365
-2.256	31.167	-4.483	35.203	2347366	Shinyanga	TZ	2347366
-3.807	33.512	-7.486	35.405	2347367	Singida	TZ	2347367
-3.873	31.035	-7.011	34.252	2347368	Tabora	TZ	2347368
-4.12010995861	37.0607149597	-6.11094451218	39.2216166524	2347369	Tanga	TZ	2347369
-0.985727634723	30.4116117698	-3.42816253008	32.722271763	2347370	Kagera	TZ	2347370
-5.15699757218	39.6430896337	-5.45418873432	39.8559965351	2347371	Pemba South	TZ	2347371
-6.0004603005	39.2741199071	-6.46291269307	39.5741532732	2347372	Zanzibar South and Central	TZ	2347372
-5.719	39.186	-6.092	39.385	2347373	Zanzibar North	TZ	2347373
-6.612	39.143	-7.009	39.547	2347374	Dar es Salaam	TZ	2347374
-5.18841684296	29.9689514499	-9.07179737725	32.7500736836	2347375	Rukwa	TZ	2347375
-6.03069101288	39.1769682149	-6.31222421647	39.3081230003	2347376	Zanzibar West	TZ	2347376
-3.45069345484	34.8692208186	-6.002113946	38.0490784031	56025085	Manyara	TZ	56025085
