top	left	bottom	right	slug	name	iso	woeid
50.632	30.0	50.219	30.83	20070188	Kyyiv Misto	UA	20070188
44.607	33.523	44.595	33.54	20070189	Sevastopol´ Misto	UA	20070189
50.229	29.61	48.452	32.893	2347534	Cherkas´ka Oblast´	UA	2347534
52.381	30.486	50.344	33.5	2347535	Chernihivs´ka Oblast´	UA	2347535
48.675	24.908	47.725	27.531	2347536	Chernivets´ka Oblast´	UA	2347536
49.193	32.962	47.458	36.935	2347537	Dnipropetrovs´ka Oblast´	UA	2347537
49.236	36.544	46.867	39.095	2347538	Donets´ka Oblast´	UA	2347538
49.558	23.544	47.724	25.653	2347539	Ivano-Frankivs´ka Oblast´	UA	2347539
50.462	34.857	48.532	38.096	2347540	Kharkivs´ka Oblast´	UA	2347540
47.597	31.514	45.946	35.109	2347541	Khersons´ka Oblast´	UA	2347541
50.593	26.133	48.451	27.899	2347542	Khmel´nyts´ka Oblast´	UA	2347542
49.245	29.749	47.748	33.893	2347543	Kirovohrads´ka Oblast´	UA	2347543
47.5828581811	31.5046716652	44.3811156278	36.638518508	2347544	Avtonomna Respublika Krym	UA	2347544
51.531	29.268	49.177	32.161	2347545	Kyyivs´ka Oblast´	UA	2347545
50.09	37.839	47.824	40.227	2347546	Luhans´ka Oblast´	UA	2347546
50.648	22.641	48.719	25.426	2347547	L´vivs´ka Oblast´	UA	2347547
48.23	30.208	46.369	33.182	2347548	Mykolayivs´ka Oblast´	UA	2347548
48.232	28.215	45.204	31.306	2347549	Odes´ka Oblast´	UA	2347549
50.553	32.09	48.722	35.488	2347550	Poltavs´ka Oblast´	UA	2347550
51.95	25.087	50.005	27.729	2347551	Rivnens´ka Oblast´	UA	2347551
52.368	32.945	50.11	35.692	2347552	Sums´ka Oblast´	UA	2347552
50.266	24.716	48.507	26.444	2347553	Ternopil´s´ka Oblast´	UA	2347553
49.889	27.374	48.066	30.02	2347554	Vinnyts´ka Oblast´	UA	2347554
51.9501109886	23.5929582047	50.2948115101	26.0958028497	2347555	Volyns´ka Oblast´	UA	2347555
49.097	22.137	47.897	24.626	2347556	Zakarpats´ka Oblast´	UA	2347556
48.143	34.136	46.079	37.245	2347557	Zaporiz´ka Oblast´	UA	2347557
51.682	27.194	49.583	29.735	2347558	Zhytomyrs´ka Oblast´	UA	2347558
