top	left	bottom	right	slug	name	iso	woeid
2.597	32.101	1.652	32.961	20070411	Apac	UG	20070411
3.739	30.763	2.538	31.5	20070412	Arua	UG	20070412
1.301	29.909	0.412	30.559	20070413	Bundibugyo	UG	20070413
-0.081	29.682	-0.781	30.492	20070414	Bushenyi	UG	20070414
3.537	31.33	2.205	32.765	20070415	Gulu	UG	20070415
1.909	30.541	1.072	31.523	20070416	Hoima	UG	20070416
0.683	33.048	0.405	33.361	20070417	Jinja	UG	20070417
-1.018	29.724	-1.484	30.305	20070418	Kabale	UG	20070418
0.967	29.961	0.259	30.568	20070419	Kabarole	UG	20070419
-0.155	31.998	-0.996	32.89	20070420	Kalangala	UG	20070420
0.443	32.5	0.202	32.666	20070421	Kampala	UG	20070421
1.504	32.817	0.643	33.66	20070422	Kamuli	UG	20070422
1.599	34.312	1.101	34.83	20070423	Kapchorwa	UG	20070423
0.44	29.701	-0.214	30.305	20070424	Kasese	UG	20070424
1.217	30.538	0.606	31.563	20070425	Kibaale	UG	20070425
1.362	31.311	0.638	32.204	20070426	Kiboga	UG	20070426
-0.999	29.573	-1.392	29.819	20070427	Kisoro	UG	20070427
3.888	32.191	3.008	33.744	20070428	Kitgum	UG	20070428
4.214	33.5	2.446	34.556	20070429	Kotido	UG	20070429
1.679	33.556	1.156	34.275	20070430	Kumi	UG	20070430
2.654	32.321	1.451	33.678	20070431	Lira	UG	20070431
2.374	31.15	1.324	32.364	20070432	Masindi	UG	20070432
1.169	34.081	0.764	34.516	20070433	Mbale	UG	20070433
0.213	30.239	-1.077	31.262	20070434	Mbarara	UG	20070434
3.103	33.674	1.637	34.954	20070435	Moroto	UG	20070435
0.583	31.333	-0.162	32.681	20070436	Mpigi	UG	20070436
0.87	31.031	0.164	32.266	20070437	Mubende	UG	20070437
0.656	32.527	-0.996	33.438	20070438	Mukono	UG	20070438
2.879	30.746	2.13	31.528	20070439	Nebbi	UG	20070439
-0.737	30.029	-1.167	30.602	20070440	Ntungamo	UG	20070440
1.349	33.382	0.908	34.159	20070441	Pallisa	UG	20070441
-0.034	31.074	-0.995	32.0	20070442	Rakai	UG	20070442
-0.309	29.664	-1.041	30.073	20070443	Rukungiri	UG	20070443
3.828	31.432	3.14	32.008	20070444	Moyo	UG	20070444
3.592	31.401	2.884	32.094	20070445	Adjumani	UG	20070445
2.397	33.357	1.632	34.2	20070446	Katakwi	UG	20070446
2.004	33.019	1.301	33.847	20070447	Soroti	UG	20070447
0.722	33.625	-0.997	33.976	20070448	Bugiri	UG	20070448
1.093	33.208	0.446	33.893	20070449	Iganga	UG	20070449
0.24	31.01	-0.373	31.591	20070450	Sembabule	UG	20070450
0.061	31.17	-0.814	32.028	20070451	Masaka	UG	20070451
1.68	31.985	0.909	32.809	20070452	Nakasongola	UG	20070452
1.468	31.841	0.537	32.797	20070453	Luwero	UG	20070453
0.593	33.889	0.2	34.145	20070454	Busia	UG	20070454
1.042	33.772	0.585	34.32	20070455	Tororo	UG	20070455
0.46441640859	33.3870373878	-1.00247079799	33.6966825702	24550732	Mayuge	UG	24550732
-0.407	29.581	-1.087	29.896	24550733	Kanungu	UG	24550733
0.935	30.433	0.203	31.266	24550734	Kyenjojo	UG	24550734
0.568079331796	30.1979813979	-0.172754001196	30.8644006691	24550735	Kamwenge	UG	24550735
3.29948883684	32.4740181822	2.52418732359	33.6038716978	24550736	Pader	UG	24550736
1.57	34.209	1.083	34.516	24550737	Sironko	UG	24550737
2.2541262884	34.2296732929	1.37242300082	35.0060600118	24550738	Nakapiripirit	UG	24550738
3.793	31.034	3.096	31.666	24550739	Yumbe	UG	24550739
0.574125474811	32.1829765159	-0.16309050882	32.6706986834	24550740	Wakiso	UG	24550740
1.504	32.697	0.586	33.06	24550742	Kayunga	UG	24550742
2.03	32.945	1.458	33.465	24550743	Kaberamaido	UG	24550743
