top	left	bottom	right	slug	name	iso	woeid
35.0097452986	-88.4861511655	30.2237345567	-84.8979431581	2347559	Alabama	US	2347559
71.4126261582	-179.14345097	51.2155558453	179.781231647	2347560	Alaska	US	2347560
37.0031290875	-114.822869916	31.3275187362	-109.046624799	2347561	Arizona	US	2347561
36.4998331893	-94.6183289007	33.010941588	-89.6673035098	2347562	Arkansas	US	2347562
41.9995402205	-124.399408002	32.5321329942	-114.119061322	2347563	California	US	2347563
40.9998331893	-109.046624799	36.9998087753	-102.039569134	2347564	Colorado	US	2347564
42.0545451032	-73.7229675718	41.0108927595	-71.7957458923	2347565	Connecticut	US	2347565
39.8386271343	-75.7846863221	38.4532755725	-75.0377869081	2347566	Delaware	US	2347566
38.9961355794	-77.1132507752	38.8054972516	-76.9093145419	2347567	District of Columbia	US	2347567
31.0001017441	-87.62692265	24.5426310411	-80.0322693299	2347568	Florida	US	2347568
35.0004435414	-85.6056824155	30.3626994001	-80.8355164007	2347569	Georgia	US	2347569
26.0714152206	-173.966302533	18.9303751814	-154.795697064	2347570	Hawaii	US	2347570
48.9928995954	-117.215350385	41.9995402205	-111.05023808	2347571	Idaho	US	2347571
45.0104288929	-79.7630066345	40.5092570178	-71.8573425717	2347572	Illinois	US	2347572
41.7597208847	-88.1118591738	37.7819376816	-84.7839538999	2347573	Indiana	US	2347573
43.500956236	-96.6379578063	40.379520689	-90.1402771421	2347574	Iowa	US	2347574
40.0001017441	-102.05126347	36.9998087753	-94.6104675723	2347575	Kansas	US	2347575
39.1462199085	-89.5779480405	36.4986369003	-81.9652283144	2347576	Kentucky	US	2347576
33.0143351429	-94.0432312444	28.9284464708	-88.8108337834	2347577	Louisiana	US	2347577
47.4600626813	-71.0849792911	43.0837443226	-66.9712830022	2347578	Maine	US	2347578
39.7217570176	-79.4879333925	37.9312540877	-75.0438660095	2347579	Maryland	US	2347579
42.8868204946	-73.5072449155	41.2480997914	-69.9245300723	2347580	Massachusetts	US	2347580
48.3054484237	-90.4125427672	41.7003947128	-82.1461121034	2347581	Michigan	US	2347581
49.3698527207	-97.229217572	43.5001261582	-89.4987244079	2347582	Minnesota	US	2347582
35.0000773303	-91.6573425717	30.1815958851	-88.0881531193	2347583	Mississippi	US	2347583
40.6188029164	-95.7730408144	35.9861857282	-89.1188904241	2347584	Missouri	US	2347584
48.992972838	-116.048944135	44.3766154158	-104.038592572	2347585	Montana	US	2347585
43.0003702991	-104.053729291	40.0001017441	-95.3172546816	2347586	Nebraska	US	2347586
42.0000773298	-120.000750775	35.0035685408	-114.0402039	2347587	Nevada	US	2347587
45.305	-72.557	42.697	-70.709	2347588	New Hampshire	US	2347588
41.358	-75.56	38.929	-73.894	2347589	New Jersey	US	2347589
37.0	-109.05	31.332	-103.002	2347590	New Mexico	US	2347590
45.013	-79.762	40.496	-71.856	2347591	New York	US	2347591
36.609549986	-84.3246277288	33.8480021344	-75.4516785093	2347592	North Carolina	US	2347592
49.001	-104.049	45.935	-96.555	2347593	North Dakota	US	2347593
42.3242716661	-84.8235290953	38.4055216663	-80.5202331974	2347594	Ohio	US	2347594
36.9998087753	-103.000799603	33.6474161968	-94.4390808535	2347595	Oklahoma	US	2347595
46.2327921735	-124.566717572	41.9995402205	-116.454998822	2347596	Oregon	US	2347596
42.5383341658	-80.5202331974	39.7210490101	-74.6985535096	2347597	Pennsylvania	US	2347597
42.019	-71.887	41.146	-71.121	2347598	Rhode Island	US	2347598
35.216	-83.354	32.037	-78.541	2347599	South Carolina	US	2347599
45.945	-104.058	42.48	-96.436	2347600	South Dakota	US	2347600
36.6897013538	-90.3126648378	34.9836466662	-81.6588562442	2347601	Tennessee	US	2347601
36.5001994004	-106.662176557	25.8442423691	-93.5147644471	2347602	Texas	US	2347602
42.0000773298	-114.04254765	36.9998087753	-109.04633183	2347603	Utah	US	2347603
45.0141642441	-73.4385437439	42.729276549	-71.504657025	2347604	Vermont	US	2347604
39.4508341657	-83.6674744083	36.5397745958	-75.2339539001	2347605	Virginia	US	2347605
48.9928995954	-124.72601933	45.566312682	-116.878826947	2347606	Washington	US	2347606
40.638	-82.644	37.202	-77.719	2347607	West Virginia	US	2347607
47.3080607287	-92.9017273381	42.4917765485	-86.2644714787	2347608	Wisconsin	US	2347608
45.000101744	-111.051385541	40.9998331893	-104.052362103	2347609	Wyoming	US	2347609
