top	left	bottom	right	slug	name	iso	woeid
-30.082	-57.888	-31.088	-55.958	2347640	Artigas	UY	2347640
-34.214	-56.483	-34.958	-55.394	2347641	Canelones	UY	2347641
-31.6646302219	-55.3448075015	-33.0249606263	-53.1114037749	2347642	Cerro Largo	UY	2347642
-33.821	-58.417	-34.494	-57.071	2347643	Colonia	UY	2347643
-32.427	-57.18	-33.514	-55.049	2347644	Durazno	UY	2347644
-33.1230941705	-57.3479927235	-33.9883643531	-56.4217701887	2347645	Flores	UY	2347645
-33.112	-56.534	-34.435	-55.112	2347646	Florida	UY	2347646
-33.327	-56.017	-34.624	-54.114	2347647	Lavalleja	UY	2347647
-33.951	-55.493	-35.048	-54.456	2347648	Maldonado	UY	2347648
-34.684	-56.426	-34.958	-55.916	2347649	Montevideo	UY	2347649
-31.452	-58.206	-32.604	-56.241	2347650	Paysandú	UY	2347650
-32.324	-58.42	-33.418	-56.535	2347651	Río Negro	UY	2347651
-30.847	-56.216	-32.036	-54.421	2347652	Rivera	UY	2347652
-33.149	-54.573	-34.95	-53.371	2347653	Rocha	UY	2347653
-30.744	-58.086	-31.846	-56.012	2347654	Salto	UY	2347654
-33.881	-57.145	-34.791	-56.343	2347655	San José	UY	2347655
-33.021394952	-58.4392697822	-33.9629912245	-57.0777249827	2347656	Soriano	UY	2347656
-31.236	-56.664	-32.873	-54.551	2347657	Tacuarembó	UY	2347657
-32.695	-55.168	-33.466	-53.172	2347658	Treinta y Tres	UY	2347658
