top	left	bottom	right	slug	name	iso	woeid
41.335	69.227	41.276	69.312	20070172	Toshkent	UZ	20070172
40.691	65.138	39.43	67.528	20070173	Samarqand	UZ	20070173
41.065	71.545	40.401	73.132	2347659	Andijon	UZ	2347659
41.382	62.168	38.892	65.279	2347660	Bukhoro	UZ	2347660
41.246	66.503	39.53	68.668	2347661	Jizzakh	UZ	2347661
40.796	70.332	40.148	72.189	2347662	Farghona	UZ	2347662
45.605	55.997	41.112	62.739	2347663	Qoraqalpoghiston	UZ	2347663
39.807	64.449	38.027	67.68	2347664	Qashqadaryo	UZ	2347664
41.378	61.382	40.543	62.586	2347665	Khorazm	UZ	2347665
41.555	70.458	40.715	72.228	2347666	Namangan	UZ	2347666
43.777	61.997	39.587	66.699	2347667	Nawoiy	UZ	2347667
39.142	66.436	37.184	68.403	2347668	Surkhondaryo	UZ	2347668
41.026	68.018	39.824	69.164	2347669	Sirdaryo	UZ	2347669
42.288	68.646	40.195	71.261	2347670	Toshkent	UZ	2347670
