top	left	bottom	right	slug	name	iso	woeid
10.6327621525	-67.4051307844	10.3959032248	-66.3079884507	20069993	Vargas	VE	20069993
6.1935499133	-67.8756188622	0.649521389501	-63.3617341779	2347677	Amazonas	VE	2347677
10.306	-65.71	7.656	-62.659	2347678	Anzoategui	VE	2347678
8.07576060627	-72.3957822336	6.08086945196	-66.3246024237	2347679	Apure	VE	2347679
10.5431552191	-67.8758772446	9.39162344037	-66.5430645417	2347680	Aragua	VE	2347680
9.066	-71.798	7.292	-67.522	2347681	Barinas	VE	2347681
8.467	-67.465	3.674	-60.263	2347682	Bolívar	VE	2347682
10.5951675483	-68.4231823387	9.81911672626	-67.5257694157	2347683	Carabobo	VE	2347683
10.1286843935	-68.9923982408	8.53281281186	-67.7552127757	2347684	Cojedes	VE	2347684
10.0520999213	-62.5976464506	7.75177521395	-59.8162141587	2347685	Delta Amacuro	VE	2347685
10.5751946066	-67.1531823389	10.3930351833	-66.8536398993	2347686	Distrito Federal	VE	2347686
12.202	-71.256	10.32	-68.2	2347687	Falcon	VE	2347687
10.062	-68.033	7.638	-64.76	2347688	Guarico	VE	2347688
10.758	-70.876	9.392	-68.87	2347689	Lara	VE	2347689
9.324	-71.87	7.609	-70.44	2347690	Mérida	VE	2347690
10.6522441677	-67.2201549956	9.92890330684	-65.4257167223	2347691	Miranda	VE	2347691
10.3146678735	-64.0616656158	8.38571584711	-62.0050728015	2347692	Monagas	VE	2347692
11.1792145858	-64.4084403144	10.7337895773	-63.7875479808	2347693	Nueva Esparta	VE	2347693
9.84425731003	-70.1824547996	8.11198578572	-68.572811449	2347694	Portuguesa	VE	2347694
10.7621082627	-64.5360811023	10.0421005312	-61.8456251692	2347695	Sucre	VE	2347695
8.61	-72.487	7.364	-71.175	2347696	Tachira	VE	2347696
10.991448269	-71.5829894681	9.59822581637	-70.6363289046	2347697	Trujillo	VE	2347697
10.73650259	-69.2377062649	9.8510785994	-68.2515907453	2347698	Yaracuy	VE	2347698
11.8510340439	-73.3917937896	8.38261526169	-71.1424220442	2347699	Zulia	VE	2347699
12.0689793971	-67.6888085599	10.8849948188	-64.5520232816	2347700	Dependencias Federales	VE	2347700
