top	left	bottom	right	slug	name	iso	woeid
15.198	107.339	13.922	108.521	20070076	Kon Tum	VN	20070076
15.434	108.233	14.533	109.151	20070077	Quang Ngai	VN	20070077
11.456	106.327	10.861	106.968	20070078	Bin Duong	VN	20070078
21.007	105.897	20.615	106.269	20070079	Hung Yen	VN	20070079
21.21	106.13	20.693	106.616	20070080	Hai Duong	VN	20070080
9.633	105.23	9.005	105.919	20070081	Bac Lieu	VN	20070081
9.563	104.512	8.408	106.75	20070082	Ca Mau	VN	20070082
22.078	105.487	21.324	106.212	20070083	Thai Nguyen	VN	20070083
22.765	105.419	21.939	106.245	20070084	Bac Kan	VN	20070084
16.223	107.807	15.845	108.336	20070085	Da Nang	VN	20070085
12.277	106.402	11.295	107.422	20070086	Bin Phuoc	VN	20070086
21.643	105.885	21.123	107.004	20070087	Bac Giang	VN	20070087
21.261	105.892	20.96	106.312	20070088	Bac Ninh	VN	20070088
20.485	105.925	19.968	106.565	20070089	Nam Dinh	VN	20070089
21.527	105.324	21.099	105.796	20070090	Vinh Phuc	VN	20070090
21.748	104.815	20.924	105.456	20070091	Phu Tho	VN	20070091
10.341	106.143	9.808	106.798	2347703	Ben Tre	VN	2347703
23.121	105.314	22.359	106.826	2347704	Cao Bang	VN	2347704
21.021	106.402	20.602	107.184	2347707	Hai Phong	VN	2347707
22.821	102.148	20.854	103.74	2347708	Lai Chau	VN	2347708
12.379	107.267	11.255	108.727	2347709	Lam Dong	VN	2347709
11.038	105.508	10.391	106.747	2347710	Long An	VN	2347710
16.087	107.218	14.923	108.752	2347711	Quang Nam	VN	2347711
21.742	106.46	20.127	108.074	2347712	Quang Ninh	VN	2347712
22.028	103.173	20.521	105.056	2347713	Son La	VN	2347713
11.775	105.811	10.971	106.493	2347714	Tay Ninh	VN	2347714
20.614	104.378	19.271	106.067	2347715	Thanh Hoa	VN	2347715
20.73	106.113	20.28	106.631	2347716	Thai Binh	VN	2347716
10.611	105.793	10.195	106.798	2347717	Tien Giang	VN	2347717
22.434	106.102	21.408	107.309	2347718	Lang Son	VN	2347718
10.956	104.769	10.069	105.624	2347719	An Giang	VN	2347719
13.3885370958	107.227801548	11.7434437121	109.037303502	2347720	Dak Lak	VN	2347720
11.556	106.728	10.524	107.557	2347721	Dong Nai	VN	2347721
10.966	105.191	10.109	105.929	2347722	Dong Thap	VN	2347722
10.539	103.831	9.409	105.543	2347723	Kien Giang	VN	2347723
21.371	105.718	20.917	106.029	2347727	Ha Noi	VN	2347727
11.155	106.412	10.369	107.012	2347728	Ho Chi Minh	VN	2347728
10.823	106.998	10.315	107.587	2347729	Ba Ria-Vung Tau	VN	2347729
14.691	108.6	13.518	109.317	2347730	Binh Dinh	VN	2347730
11.553	107.401	9.965	109.086	2347731	Binh Thuan	VN	2347731
10.19	105.329	9.582	105.902	2347732	Can Tho	VN	2347732
14.564	107.455	12.986	108.909	2347733	Gia Lai	VN	2347733
23.389	104.338	22.164	105.576	2347734	Ha Giang	VN	2347734
21.294	105.294	20.509	105.983	2347735	Ha Tay	VN	2347735
18.8	105.109	17.89	106.511	2347736	Ha Tinh	VN	2347736
21.108	104.826	20.288	105.837	2347737	Hoa Binh	VN	2347737
12.899	108.689	11.798	109.467	2347738	Khanh Hoa	VN	2347738
22.849	103.534	21.774	104.615	2347740	Lao Cai	VN	2347740
20.694	105.789	20.363	106.185	2347741	Ha Nam	VN	2347741
19.96	103.876	18.562	105.971	2347742	Nghe An	VN	2347742
20.446	105.658	19.963	106.175	2347743	Ninh Binh	VN	2347743
12.122	108.549	11.307	109.238	2347744	Ninh Thuan	VN	2347744
13.686	108.679	12.752	109.459	2347745	Phu Yen	VN	2347745
18.061	105.618	16.917	107.349	2347746	Quang Binh	VN	2347746
17.169	106.554	16.302	107.458	2347747	Quang Tri	VN	2347747
9.939	105.514	9.274	106.293	2347748	Soc Trang	VN	2347748
16.688	107.032	16.006	108.197	2347749	Thura Thien-Hue	VN	2347749
10.061	105.967	9.526	106.58	2347750	Tra Vinh	VN	2347750
22.729	104.851	21.495	105.611	2347751	Tuyen Quang	VN	2347751
10.327	105.681	9.891	106.28	2347752	Vinh Long	VN	2347752
22.303	103.748	21.028	105.094	2347753	Yen Bai	VN	2347753
22.821	102.148	20.854	103.74	28301718	Dien Bien	VN	28301718
13.409	107.182	11.75	109.115	28301719	Dac Nong	VN	28301719
10.19	105.329	9.582	105.902	28301720	Hau Giang	VN	28301720
