top	left	bottom	right	slug	name	iso	woeid
-13.481	-172.799	-13.607	-172.611	20070336	Vaisigano	WS	20070336
-13.439	-172.627	-13.612	-172.38	20070337	Gagaifomauga	WS	20070337
-13.543	-172.335	-13.785	-172.1	20070338	Fa`asaleleaga	WS	20070338
-13.787	-171.913	-14.041	-171.696	20070339	Tuamasaga	WS	20070339
-13.795	-172.041	-14.001	-171.893	20070340	A`ana	WS	20070340
-13.81	-172.129	-13.891	-172.002	20070341	Aiga-i-le-Tai	WS	20070341
-13.582	-172.687	-13.777	-172.317	20070342	Satupa`itea	WS	20070342
-13.61	-172.609	-13.802	-172.211	20070343	Palauli	WS	20070343
-13.432	-172.412	-13.998	-171.855	20070344	Gaga`emauga	WS	20070344
-13.85	-171.716	-14.064	-171.333	20070345	Atua	WS	20070345
-13.866	-171.596	-13.977	-171.488	20070346	Va`a-o-Fonoti	WS	20070346
