top	left	bottom	right	slug	name	iso	woeid
18.9796686874	50.192368198	15.0973733587	53.0902791687	20070032	Al Mahrah	YE	20070032
18.866	47.614	14.039	51.275	20070033	Hadramawt	YE	20070033
17.679	45.36	13.609	48.695	20070034	Shabwah	YE	20070034
12.9247411161	44.4153048033	12.6702088483	45.0934029475	20070035	`Adan	YE	20070035
14.362	45.011	12.976	47.258	20070036	Abyan	YE	20070036
15.839	44.47	14.387	46.371	20070037	Ma´rib	YE	20070037
17.5231167667	43.1083561545	16.60852143	44.9724800962	20070038	Sa`dah	YE	20070038
17.43	44.176	15.779	46.383	20070039	Al Jawf	YE	20070039
13.839	43.386	12.591	45.255	20070040	Lahij	YE	20070040
13.9119935164	43.2265401547	12.6322525089	44.5332304219	20070041	Ta`izz	YE	20070041
14.396	43.624	13.679	44.822	20070042	Ibb	YE	20070042
14.814264024	44.6303821141	13.8227999942	46.0438358909	20070043	Al Bayda´	YE	20070043
15.012	43.417	14.026	44.894	20070044	Dhamar	YE	20070044
17.014	43.443	14.364	44.862	20070045	San`a´	YE	20070045
15.509	43.23	14.993	43.92	20070046	Al Mahwit	YE	20070046
15.884	41.816	13.601	43.724	20070047	Al Hudaydah	YE	20070047
16.68	41.956	15.481	43.817	20070048	Hajjah	YE	20070048
