top	left	bottom	right	slug	name	iso	woeid
-12.922	45.075	-13.0	45.155	24549748	Kani Kele	YT	24549748
-12.836	45.089	-12.885	45.127	24549749	Sada	YT	24549749
-12.727	45.062	-12.791	45.134	24549750	M'Tsangamouji	YT	24549750
-12.716	45.153	-12.781	45.232	24549751	Koungou	YT	24549751
-12.782	45.155	-12.876	45.251	24549752	Dembeni	YT	24549752
-12.897	45.066	-12.931	45.103	24549753	Bouéni	YT	24549753
-12.795	45.096	-12.839	45.13	24549754	Chiconi	YT	24549754
-12.725	45.039	-12.757	45.083	24549755	Acoua	YT	24549755
-12.869	45.142	-12.934	45.25	24549756	Bandrele	YT	24549756
-12.752	45.182	-12.815	45.236	24549757	Mamoudzou	YT	24549757
-12.634	45.015	-12.73	45.087	24549758	Mtsamboro	YT	24549758
-12.75	45.1	-12.829	45.182	24549759	Tsingoni	YT	24549759
-12.892	45.117	-12.995	45.2	24549760	Chirongui	YT	24549760
-12.759	45.254	-12.773	45.261	24549761	Dzaoudzi	YT	24549761
-12.649	45.073	-12.753	45.158	24549762	Bandraboua	YT	24549762
-12.822	45.127	-12.893	45.179	24549763	Ouangani	YT	24549763
-12.75	45.257	-12.812	45.317	24549764	Pamandzi	YT	24549764
