top	left	bottom	right	slug	name	iso	woeid
-17.2661292461	31.1986955098	-21.3134274227	33.0425106139	2347810	Manicaland	ZW	2347810
-17.1301168761	28.0051953465	-21.0429529764	30.8593363789	2347811	Midlands	ZW	2347811
-15.6358411601	30.0448124526	-17.7408806293	32.7396350439	2347812	Mashonaland Central	ZW	2347812
-16.681462091	30.3630875996	-19.2723633767	32.9688200215	2347813	Mashonaland East	ZW	2347813
-15.6146538225	28.0228686866	-18.8615357397	30.9820679053	2347814	Mashonaland West	ZW	2347814
-16.877	25.237	-20.351	29.36	2347815	Matabeleland North	ZW	2347815
-19.678	26.703	-22.356	31.119	2347816	Matabeleland South	ZW	2347816
-19.143	29.754	-22.418	32.426	2347817	Masvingo	ZW	2347817
-20.002	28.392	-20.3	28.737	24550730	Bulawayo	ZW	24550730
-17.662	30.864	-18.06	31.222	24550731	Harare	ZW	24550731
