name,iso,fips,woeid
Bari,SOM,SO03,2347008
Hainaut,BEL,,7153299
Limburg,BEL,,7153301
Colonia,URY,UY04,0
San José,URY,UY16,0
Artigas,URY,UY01,0
Flores,URY,UY06,2347645
Paysandú,URY,UY11,0
Río Negro,URY,UY12,2347651
Salto,URY,UY15,0
Soriano,URY,UY17,2347656
Cerro Largo,URY,UY03,2347642
Durazno,URY,UY05,0
Rivera,URY,UY13,2344682
Tacuarembó,URY,UY18,0
Treinta y Tres,URY,UY19,0
Canelones,URY,UY02,0
Florida,URY,UY07,0
Lavalleja,URY,UY08,0
Maldonado,URY,UY09,0
Montevideo,URY,UY10,0
Rocha,URY,UY14,0
Falcón,VEN,VE11,0
Nicaragua,NIC,NU00,0
Apure,VEN,VE03,2347679
Barinas,VEN,VE05,0
Mérida,VEN,VE14,2347690
Táchira,VEN,VE20,0
Trujillo,VEN,VE21,2347697
Trujillo,VEN,VE23,2347697
Zulia,VEN,VE23,2347699
Cojedes,VEN,VE08,2347684
Carabobo,VEN,VE07,2347683
Lara,VEN,VE13,0
Portuguesa,VEN,VE18,2347694
Yaracuy,VEN,VE22,2347698
Nickerie,SUR,NS14,0
Amazonas,VEN,VE01,2347677
Bolívar,VEN,VE06,2347682
Anzoátegui,VEN,VE02,0
Aragua,VEN,VE04,2347680
Vargas,VEN,VE26,20069993
Distrito Capital,VEN,VE26,2347686
Dependencias Federales,VEN,VE00,2347700
Guárico,VEN,VE12,0
Monagas,VEN,VE16,2347692
Miranda,VEN,VE15,2347691
Nueva Esparta,VEN,VE00,2347693
Sucre,VEN,VE19,2347695
Tobago,TTO,TD11,24549908
Diego Martin,TTO,TD00,0
Siparia,TTO,TD00,0
Arima,TTO,TD00,0
Sangre Grande,TTO,TD00,0
Mayaro/Rio Claro,TTO,TD00,0
San Juan/Laventille,TTO,TD00,0
Princes Town,TTO,TD00,0
Couva/Tabaquite/Talparo,TTO,TD00,0
Penal/Debe,TTO,TD00,0
Point Fortin,TTO,TD00,0
Tunapuna/Piarco,TTO,TD00,0
San Fernando,TTO,TD00,0
Chaguanas,TTO,TD00,0
Port of Spain,TTO,TD00,0
Delta Amacuro,VEN,VE09,2347685
Brokopondo,SUR,NS10,0
Marowijne,SUR,NS13,2346409
Para,SUR,NS15,2346411
Sipaliwini,SUR,NS18,0
Commewijne,SUR,NS13,2346407
Coronie,SUR,NS12,0
Paramaribo,SUR,NS16,0
Saramacca,SUR,NS17,2346413
Wanica,SUR,NS19,0
Nordland,NOR,JN00,2346392
Clare,IRL,EI03,2345251
Carlow,IRL,EI01,2345249
Cork,IRL,EI04,2345252
Cavan,IRL,EI02,2345250
Andalucía,ESP,SP80,12578029
Gibraltar,GIB,GI00,0
Castilla-La Mancha,ESP,SP84,0
Cantabria,ESP,SP85,12578028
Castilla y León,ESP,SP85,0
Comunidad de Madrid,ESP,SP87,0
Plateaux,TGO,TO25,56048438
Maritime,TGO,TO24,2347574
Kara,TGO,TO23,56048435
Centre,TGO,TO22,2347574
Savanes,TGO,TO26,56048434
Maradi,NER,NG04,2346327
Zinder,NER,NG07,2346330
Dosso,NER,NG03,0
Niamey,NER,NG09,0
Tahoua,NER,NG06,0
Médenine,TUN,TS28,0
Kebili,TUN,TS31,0
Tataouine,TUN,TS34,0
Canillo,ESP,SP86,0
Cataluña,ESP,SP86,12578034
Tozeur,TUN,TS35,0
Manubah,TUN,TS38,0
Béja,TUN,TS17,0
Ben Arous (Tunis Sud),TUN,TS32,0
Bizerte,TUN,TS18,0
Jendouba,TUN,TS06,0
Nabeul,TUN,TS19,0
Tunis,TUN,TS36,0
Le Kef,TUN,TS14,0
Kassérine,TUN,TS02,0
Gabès,TUN,TS29,0
Gafsa,TUN,TS10,0
Sidi Bou Zid,TUN,TS33,0
Sfax,TUN,TS32,0
Siliana,TUN,TS22,0
Mahdia,TUN,TS15,0
Monastir,TUN,TS16,0
Kairouan,TUN,TS03,0
Sousse,TUN,TS23,0
Zaghouan,TUN,TS37,0
Pirotski,SRB,BU47,0
Dolj,ROU,RO17,2346631
Gorj,ROU,RO19,2346633
Mehedinti,ROU,RO26,2346639
Borski,SRB,RO26,0
Olt,ROU,RO29,2346642
Teleorman,ROU,RO35,2346648
Bucharest,ROU,RO10,0
Calarasi,ROU,RO41,0
Dâmbovita,ROU,RO16,0
Giurgiu,ROU,RO42,0
Ialomita,ROU,RO22,2346636
Constanta,ROU,RO14,0
Lattakia (Al Ladhiqiyah),SYR,SY02,0
Tartus,SYR,SY14,0
Ar Raqqah,SYR,SY04,0
Aleppo (Halab),SYR,SY09,0
Hamah,SYR,SY10,0
Homs (Hims),SYR,SY11,0
Idlib,SYR,SY12,0
Hasaka (Al Haksa),SYR,SY01,0
Dayr Az Zawr,SYR,SY07,0
As Suwayda',SYR,SY05,0
Damascus,SYR,SY08,0
Quneitra,SYR,SY03,0
Dar`a,SYR,SY06,0
North Bahr-al-Ghazal,SDS,SU54,0
Blue Nile,SDN,SU42,0
Red Sea,SDN,EG02,0
Sa`dah,YEM,YM15,20070038
Al Hudaydah,YEM,YM08,0
Al Mahwit,YEM,YM10,0
Dhamar,YEM,YM11,0
Hajjah,YEM,YM22,0
Amran,YEM,YM00,0
Ibb,YEM,YM23,0
Lahij,YEM,YM24,0
Ta`izz,YEM,YM25,20070041
Genève,CHE,SZ07,0
Jura,CHE,SZ26,2347108
Neuchâtel,CHE,SZ12,0
Aargau,CHE,SZ01,2347083
Lucerne,CHE,SZ11,0
Nidwalden,CHE,SZ13,2347095
Valais,CHE,SZ22,2347104
Appenzell Ausserrhoden,CHE,SZ02,2347084
Sankt Gallen,CHE,SZ15,0
Ticino,CHE,SZ20,2347102
Glarus,CHE,SZ08,0
Graubünden,CHE,SZ09,2347091
Schaffhausen,CHE,SZ16,0
Schaffhausen,CHE,SZ16,0
Schwyz,CHE,SZ17,0
Thurgau,CHE,SZ19,2347101
Uri,CHE,SZ21,2347103
Zürich,CHE,SZ25,0
Zug,CHE,SZ24,0
Gävleborg,SWE,SW03,2347046
Jönköping,SWE,SW08,0
Kalmar,SWE,SW09,0
Dalarna,SWE,SW10,2347053
Kronoberg,SWE,SW12,2347055
Orebro,SWE,SW15,0
Östergötland,SWE,SW16,2347059
Södermanland,SWE,SW18,2347061
Västmanland,SWE,SW25,2347066
Halland,SWE,SW06,2347049
Värmland,SWE,SW22,2347063
Jämtland,SWE,SW07,2347050
Norrbotten,SWE,SW14,2347057
Västernorrland,SWE,SW24,2347065
Västerbotten,SWE,SW23,2347064
Gotland,SWE,SW18,2347048
Stockholm,SWE,SW26,0
Uppsala,SWE,SW21,0
alovci,SVN,SI33,0
Kuzma,SVN,SII2,0
Cerkvenjak,SVN,SI00,0
Benedikt,SVN,SI00,0
Sveta Ana,SVN,SI00,55848361
Hodo,SVN,SI00,0
Grad,SVN,SI00,0
Destrnik,SVN,SI18,0
Dobrova-Polhov Gradec,SVN,SIG4,55848364
Domale,SVN,SIG7,0
Kamnik,SVN,SIH6,0
Kocevje,SVN,SIH7,0
Lenart,SVN,SII3,0
Loka Dolina,SVN,SII7,55848394
Luce,SVN,SII9,0
Majperk,SVN,SIJ1,0
Novo Mesto,SVN,SIJ7,0
Bistrica ob Sotli,SVN,SI92,55848390
Podvelka,SVN,SI93,0
Preddvor,SVN,SIK5,0
Ptuj,SVN,SIK7,0
Ravne na Korokem,SVN,SIA4,0
Ribnica,SVN,SIL1,0
Rue,SVN,SIL3,0
entjur pri Celju,SVN,SIL7,0
Slovenska Bistrica,SVN,SIL8,55848388
Videm,SVN,SIN2,55848377
Vojnik,SVN,SIN3,0
Savinjska,SVN,SIN5,0
Komenda,SVN,SI00,0
Oplotnica,SVN,SI00,0
Hajdina,SVN,SI00,55848377
Miklav na Dravskem Polju,SVN,SI00,0
Hoce-Slivnica,SVN,SI00,55848367
Trnovska Vas,SVN,SI00,55848377
etale,SVN,SI00,0
Podlehnik,SVN,SI00,0
Prevalje,SVN,SI00,0
Selnica ob Dravi,SVN,SI00,55848382
Lovrenc na Pohorju,SVN,SI00,55848382
Trzin,SVN,SI00,0
Jezersko,SVN,SI00,55848358
uemberk,SVN,SI00,0
Dobrna,SVN,SI00,0
Tabor,SVN,SI00,0
Vransko,SVN,SI00,0
Mirna Pec,SVN,SI00,0
Prebold,SVN,SI00,0
Polzela,SVN,SI00,0
Kostel,SVN,SI00,0
Kocevje,SVN,SI00,0
Braslovce,SVN,SI00,0
Sodraica,SVN,SI00,0
Jugovzhodna Slovenija,SVN,SI00,0
Horjul,SVN,SI00,0
Solcava,SVN,SI00,0
Dobje,SVN,SI00,0
Dobrepolje,SVN,SI00,55848349
Bloke,SVN,SI00,0
Podcetrtek,SVN,SI00,0
Maribor,SVN,SI70,0
Ribnica na Pohorju,SVN,SIA5,55848378
Jesenice,SVN,SIH4,0
irovnica,SVN,SI00,0
Gorika,SVN,SI84,0
empeter-Vrtojba,SVN,SI00,0
Blekinge,SWE,SW02,2347045
Crenovci,SVN,SI15,0
Lendava,SVN,SI59,0
Ljutomer,SVN,SII6,0
Krievci,SVN,SI00,0
Verej,SVN,SI00,0
Sveti Andra v Slovenskih Goricah,SVN,SI00,0
Razkrije,SVN,SI00,0
Velika Polana,SVN,SI00,0
Dobrovnik,SVN,SI00,0
Markovci,SVN,SI00,0
Zapadno-Backi,SRB,HR10,0
Severno-Backi,SRB,HU19,0
