Bari, SOM: 2347008
Hainaut, BEL: 7153299
Limburg, BEL: 7153301
FAILED: Colonia, URY
FAILED: San José, URY
FAILED: Artigas, URY
Flores, URY: 2347645
FAILED: Paysandú, URY
Ro Negro, URY: 2347651
FAILED: Salto, URY
Soriano, URY: 2347656
Cerro Largo, URY: 2347642
FAILED: Durazno, URY
FAILED: Rivera, URY
FAILED: Tacuarembó, URY
FAILED: Treinta y Tres, URY
FAILED: Canelones, URY
FAILED: Florida, URY
FAILED: Lavalleja, URY
FAILED: Maldonado, URY
FAILED: Montevideo, URY
FAILED: Rocha, URY
Falcn, VEN: 20070561
FAILED: Nicaragua, NIC
Apure, VEN: 2347679
FAILED: Barinas, VEN
Mrida, VEN: 2347690
Tchira, VEN: 20070561
Trujillo, VEN: 2347697
Trujillo, VEN: 2347697
Zulia, VEN: 2347699
Cojedes, VEN: 2347684
Carabobo, VEN: 2347683
Lara, VEN: 2347689
Portuguesa, VEN: 2347694
Yaracuy, VEN: 2347698
FAILED: Nickerie, SUR
Amazonas, VEN: 2347677
Bolvar, VEN: 2347682
FAILED: Anzoátegui, VEN
Aragua, VEN: 2347680
Vargas, VEN: 20069993
Distrito Capital, VEN: 2347686
Dependencias Federales, VEN: 2347700
FAILED: Guárico, VEN
Monagas, VEN: 2347692
Miranda, VEN: 2347691
Nueva Esparta, VEN: 2347693
Sucre, VEN: 2347695
Tobago, TTO: 24549908
FAILED: Diego Martin, TTO
FAILED: Siparia, TTO
FAILED: Arima, TTO
FAILED: Sangre Grande, TTO
FAILED: Mayaro/Rio Claro, TTO
FAILED: San Juan/Laventille, TTO
FAILED: Princes Town, TTO
FAILED: Couva/Tabaquite/Talparo, TTO
FAILED: Penal/Debe, TTO
FAILED: Point Fortin, TTO
FAILED: Tunapuna/Piarco, TTO
FAILED: San Fernando, TTO
FAILED: Chaguanas, TTO
FAILED: Port of Spain, TTO
Delta Amacuro, VEN: 2347685
FAILED: Brokopondo, SUR
Marowijne, SUR: 2346409
Para, SUR: 2346411
FAILED: Sipaliwini, SUR
Commewijne, SUR: 2346407
FAILED: Coronie, SUR
FAILED: Paramaribo, SUR
Saramacca, SUR: 2346413
Wanica, SUR: 2346415
Nordland, NOR: 2346392
Clare, IRL: 2345251
Carlow, IRL: 2345249
Cork, IRL: 2345252
Cavan, IRL: 2345250
Andaluca, ESP: 12578029
FAILED: Gibraltar, GIB
Castilla-La Mancha, ESP: 12578032
Cantabria, ESP: 12578028
Castilla y Len, ESP: 12578033
Comunidad de Madrid, ESP: 12578024
